Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
09.09.2023 20:39:16;PNS 18T DM-6.1;10704;13538:00;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,3;1000,0;14,4;26,2;20,2;23,0;74,5;1;Time;;;start of measurement;;
10.09.2023 09:30:00;PNS 18T DM-6.1;10704;13538:00;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,3;1000,0;11,7;26,2;20,4;23,2;83,8;1;Time;;;;
10.09.2023 10:30:00;PNS 18T DM-6.1;10704;13539:00;1:00;36,9; 2,29; 2,17;   2,295;   2,172;64,5;1000,0;11,9;20,9;20,7;23,4;82,9;1;Time;;;;;
10.09.2023 11:30:00;PNS 18T DM-6.1;10704;13540:00;2:00;37,3; 2,30; 2,17;   4,592;   4,338;63,9;1000,0;13,0;21,8;20,7;24,8;78,0;1;Time;;;;;
10.09.2023 12:30:00;PNS 18T DM-6.1;10704;13541:00;3:00;37,0; 2,30; 2,15;   6,890;   6,487;65,0;999,0;15,2;23,5;20,6;25,6;69,1;1;Time;;;;;
10.09.2023 13:30:00;PNS 18T DM-6.1;10704;13542:00;4:00;37,0; 2,30; 2,14;   9,188;   8,622;64,8;999,0;16,9;24,7;20,7;25,7;62,3;1;Time;;;;;
10.09.2023 14:30:00;PNS 18T DM-6.1;10704;13543:00;5:00;37,0; 2,30; 2,12;  11,486;  10,746;64,5;998,0;18,4;24,8;20,7;26,1;57,7;1;Time;;;;;
10.09.2023 15:30:00;PNS 18T DM-6.1;10704;13544:00;6:00;37,0; 2,30; 2,12;  13,783;  12,862;65,0;998,0;19,2;25,5;20,7;26,6;54,0;1;Time;;;;;
10.09.2023 16:30:00;PNS 18T DM-6.1;10704;13545:00;7:00;37,0; 2,30; 2,11;  16,081;  14,974;65,0;997,0;19,6;26,1;20,7;27,0;50,8;1;Time;;;;;
10.09.2023 17:30:00;PNS 18T DM-6.1;10704;13546:00;8:00;37,0; 2,30; 2,11;  18,379;  17,085;65,0;997,0;19,7;25,9;20,6;27,1;50,0;1;Time;;;;;
10.09.2023 18:30:00;PNS 18T DM-6.1;10704;13547:00;9:00;37,5; 2,30; 2,12;  20,676;  19,208;64,7;997,0;18,0;25,6;20,7;27,0;58,5;1;Time;;;;;
10.09.2023 19:30:00;PNS 18T DM-6.1;10704;13548:00;10:00;37,7; 2,30; 2,15;  22,974;  21,362;65,0;997,0;13,9;23,8;20,7;26,2;77,7;1;Time;;;;;
10.09.2023 20:30:00;PNS 18T DM-6.1;10704;13549:00;11:00;37,9; 2,30; 2,17;  25,272;  23,528;64,7;997,0;12,1;22,7;20,6;25,6;84,6;1;Time;;;;;
10.09.2023 21:30:00;PNS 18T DM-6.1;10704;13550:00;12:00;37,9; 2,30; 2,17;  27,569;  25,699;65,3;997,0;11,6;22,2;20,7;25,2;86,1;1;Time;;;;;
10.09.2023 22:30:00;PNS 18T DM-6.1;10704;13551:00;13:00;37,9; 2,30; 2,18;  29,867;  27,877;65,1;997,0;10,7;21,7;20,7;24,9;88,5;1;Time;;;;;
