ID,SampleID,StartTimeUTC,EndTimeUTC,StartTimeLocal,EndTimeLocal,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,Volume,Chamber,SetupID,a1,b1,c1,d1,e1,f1,a2,b2,c2,d2,e2,f2
13151,13266,2023-09-30 19:00:00,2023-09-30 20:00:00,2023-09-30 22:00:00,2023-09-30 23:00:00,391.56,6703.51,6767,1916,100,1,4851,1916,371.33,990.58,2,24,367.519017212116,-0.016896791039164,0.000232213026918156,-0.0000029679195745139,0.0000000127690190277425,-0.0000000000169141221611812,369.862957526256,0.0160970293337765,-0.0000248787095090061,-0.000000632194963106608,0.00000000305764639452567,-0.00000000000358150109322269
13152,13267,2023-09-30 20:00:00,2023-09-30 21:00:00,2023-09-30 23:00:00,2023-10-01 00:00:00,368.83,6358.67,6423,1610,100,1,4813,1610,374.24,990.05,1,24,372.11154671398,-0.0318506520248272,0.000426104505331661,-0.00000474071211215006,0.0000000193284395352142,-0.000000000025155413931719,373.03815254297,0.00856595131425313,0.000174712942002873,-0.00000243083459733617,0.00000000956331862953131,-0.000000000011883068442878
13153,13268,2023-09-30 21:00:00,2023-09-30 22:00:00,2023-10-01 00:00:00,2023-10-01 01:00:00,345.45,5914.04,5972,1378,100,1,4594,1378,372,990.26,2,24,367.425749963227,-0.0142090639377929,0.000250772633363018,-0.00000326520034597124,0.0000000140544933533263,-0.0000000000186711754853213,370.580101756985,0.0223756297481311,-0.000149010697107527,0.000000425636555348709,-0.000000000773429462039334,0.00000000000121189114959481
13154,13269,2023-09-30 22:00:00,2023-09-30 23:00:00,2023-10-01 01:00:00,2023-10-01 02:00:00,319.79,5513.25,5572,1212,100,1,4360,1212,374.48,989.45,1,24,372.369221823696,-0.0182617011432291,0.000151459056770185,-0.00000261418059585447,0.0000000124770980488104,-0.0000000000174515184379654,373.257389888789,0.0108657399858137,0.0000772608156211326,-0.00000138173863365658,0.00000000534926132685515,-0.00000000000614764401418789
13155,13270,2023-09-30 23:00:00,2023-10-01 00:00:00,2023-10-01 02:00:00,2023-10-01 03:00:00,305.72,5233.89,5280,1117,100,1,4163,1117,371.78,991.21,2,24,367.860155746442,-0.0193247198797646,0.000354788767473527,-0.00000410165419962793,0.0000000169209944864926,-0.0000000000222595651110008,370.834805279805,0.0143017059457426,-0.0000134863441972808,-0.00000113107189773106,0.0000000060853791561747,-0.00000000000852746809732204
13156,13271,2023-10-01 00:00:00,2023-10-01 01:00:00,2023-10-01 03:00:00,2023-10-01 04:00:00,311.06,5362.67,5412,1097,100,1,4315,1097,374.26,990.93,1,24,372.573126746907,-0.0181574995449306,0.0000832938041080636,-0.00000191967473731367,0.00000000993802465959566,-0.0000000000142474985587854,373.145952290372,0.00548300279050028,0.000154426905766976,-0.00000206949660080104,0.00000000813508962378555,-0.00000000000999257209917874
13157,13272,2023-10-01 01:00:00,2023-10-01 02:00:00,2023-10-01 04:00:00,2023-10-01 05:00:00,287.18,4916.54,4961,1025,100,1,3936,1025,372.13,991.03,2,24,367.340457506683,-0.0325613459700466,0.00064854784645077,-0.00000600396941350855,0.0000000218412044755665,-0.0000000000266080406786276,370.937951098778,-0.0000814231535770052,0.000356331982169636,-0.00000398433481523165,0.0000000149825950037189,-0.0000000000182803454883981
13158,13273,2023-10-01 02:00:00,2023-10-01 03:00:00,2023-10-01 05:00:00,2023-10-01 06:00:00,295.14,5088.17,5139,1031,100,1,4108,1031,375.34,990.13,1,24,372.658808913978,-0.0304555692673636,0.000419375029594396,-0.00000444821514889397,0.0000000175189285857605,-0.000000000022145293205484,373.899206180256,0.0133532938072495,0.000138463023059175,-0.00000238864981092186,0.0000000098198623367375,-0.0000000000123146154797011
13159,13274,2023-10-01 03:00:00,2023-10-01 04:00:00,2023-10-01 06:00:00,2023-10-01 07:00:00,294.68,5044.92,5091,1131,100,1,3960,1131,374.24,990.96,2,24,368.637092445866,-0.00501512804168127,0.000107977054641616,-0.00000203819035276583,0.00000000950386447747764,-0.0000000000128000374531927,372.873291168792,0.00853672403925314,0.000191031367203005,-0.00000259824703090769,0.0000000100843602814872,-0.000000000012244327026414
13160,13275,2023-10-01 04:00:00,2023-10-01 05:00:00,2023-10-01 07:00:00,2023-10-01 08:00:00,311.43,5369.1,5423,1245,100,1,4178,1245,378.37,990.06,1,24,376.247559348255,-0.0293118353569988,0.000266283961210873,-0.00000291382156096458,0.000000011940531744559,-0.0000000000153768568199019,376.924904398764,0.00960994754410578,0.0000985171832855867,-0.00000154615852906393,0.00000000604545651694614,-0.00000000000714606305777422
