timestamp,datetime,CH4,CO,NO,NO2,OZ,PM10,PM2.5,SO2
1690848000,01.08.2023 00:00,1.41,0.33,0.007,0.072,0.003,0.027,0.014,0.0007
1690851600,01.08.2023 01:00,1.43,0.47,0.037,0.084,0.0022,0.029,0.015,0.0012
1690855200,01.08.2023 02:00,1.42,0.47,0.046,0.083,0.002,0.031,0.017,0.0014
1690858800,01.08.2023 03:00,1.42,0.3,0.021,0.072,0.002,0.025,0.015,0.0011
1690862400,01.08.2023 04:00,1.42,0.2,0.025,0.057,0.0022,0.024,0.014,0.0013
1690866000,01.08.2023 05:00,1.42,0.2,0.013,0.055,0.0027,0.023,0.014,0.0008
1690869600,01.08.2023 06:00,1.42,0.2,0.015,0.047,0.0056,0.024,0.015,0.0009
1690873200,01.08.2023 07:00,1.44,0.3,0.037,0.053,0.0067,0.033,0.02,0.0011
1690876800,01.08.2023 08:00,1.44,0.3,0.035,0.061,0.0167,0.032,0.016,0.0012
1690880400,01.08.2023 09:00,1.4,0.1,0.004,0.024,0.0512,0.017,0.008,0.0008
1690884000,01.08.2023 10:00,1.39,0.07,0.004,0.023,0.057,0.015,0.008,0.001
1690887600,01.08.2023 11:00,1.39,0.1,0.003,0.024,0.0635,0.015,0.009,0.0008
1690891200,01.08.2023 12:00,1.38,0.1,0.001,0.017,0.076,0.017,0.007,0.0007
1690894800,01.08.2023 13:00,1.39,0.07,0.002,0.022,0.0757,0.024,0.011,0.0007
1690898400,01.08.2023 14:00,1.37,0.03,0.001,0.011,0.0962,0.014,0.006,0.0008
1690902000,01.08.2023 15:00,1.36,0.1,0.001,0.014,0.0976,0.016,0.012,0.0009
1690905600,01.08.2023 16:00,1.36,0.0,0.001,0.015,0.0982,0.022,0.007,0.0008
1690909200,01.08.2023 17:00,1.36,0.0,0.0,0.014,0.094,0.017,0.011,0.0009
1690912800,01.08.2023 18:00,1.37,0.07,0.001,0.024,0.0815,0.027,0.013,0.0012
1690916400,01.08.2023 19:00,1.39,0.1,0.0,0.031,0.0737,0.03,0.013,0.0011
1690920000,01.08.2023 20:00,1.4,0.1,0.0,0.039,0.0623,0.026,0.013,0.0009
1690923600,01.08.2023 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1690923600,01.08.2023 21:00,1.4,0.17,0.0,0.049,0.0454,0.036,0.018,0.0011
1690927200,01.08.2023 22:00,1.39,0.1,0.0,0.048,0.0429,0.026,0.012,0.0009
1690930800,01.08.2023 23:00,1.4,0.17,0.0,0.047,0.0395,0.031,0.016,0.0009
1690934400,02.08.2023 00:00,1.41,0.2,0.0,0.047,0.0328,0.026,0.014,0.0009
1690938000,02.08.2023 01:00,1.41,0.13,0.0,0.04,0.0207,0.022,0.013,0.0007
1690941600,02.08.2023 02:00,1.42,0.23,0.01,0.062,0.0044,0.025,0.015,0.001
1690945200,02.08.2023 03:00,1.43,0.5,0.003,0.055,0.0031,0.021,0.014,0.0009
1690948800,02.08.2023 04:00,1.43,0.5,0.001,0.045,0.0047,0.022,0.014,0.0008
1690952400,02.08.2023 05:00,1.46,0.5,0.002,0.043,0.0025,0.019,0.013,0.0009
1690956000,02.08.2023 06:00,1.54,0.57,0.019,0.042,0.0031,0.031,0.019,0.0011
1690959600,02.08.2023 07:00,1.77,0.6,0.032,0.062,0.0063,0.068,0.039,0.0014
1690963200,02.08.2023 08:00,1.73,0.53,0.036,0.073,0.0151,0.035,0.016,0.0017
1690966800,02.08.2023 09:00,1.65,0.5,0.021,0.067,0.0257,0.052,0.025,0.0019
1690970400,02.08.2023 10:00,1.53,0.4,0.011,0.045,0.0405,0.039,0.02,0.0035
