Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
01.09.2023 00:30:00;LVS 3.1;00977;10778:21;15:00;63,9; 2,30; 2,11;  34,495;  31,235;56,8;991,0;18,7;;;25,0;69,9;1;Time;;;;;
01.09.2023 01:30:00;LVS 3.1;00977;10779:21;16:00;64,0; 2,30; 2,11;  36,795;  33,350;56,8;991,0;17,8;;;24,8;74,0;1;Time;;;;;
01.09.2023 02:30:00;LVS 3.1;00977;10780:21;17:00;64,1; 2,30; 2,12;  39,095;  35,471;56,8;991,0;16,9;;;24,4;77,8;1;Time;;;;;
01.09.2023 03:30:00;LVS 3.1;00977;10781:21;18:00;64,2; 2,30; 2,13;  41,395;  37,597;57,1;991,0;16,3;;;24,0;80,4;1;Time;;;;;
01.09.2023 04:30:00;LVS 3.1;00977;10782:21;19:00;64,2; 2,30; 2,13;  43,695;  39,727;56,9;991,0;15,6;;;23,5;82,9;1;Time;;;;;
01.09.2023 05:30:00;LVS 3.1;00977;10783:21;20:00;64,4; 2,30; 2,14;  45,995;  41,863;57,2;991,0;15,0;;;23,2;85,5;1;Time;;;;;
01.09.2023 06:30:00;LVS 3.1;00977;10784:21;21:00;64,2; 2,30; 2,14;  48,295;  44,001;56,9;991,0;14,6;;;22,9;87,3;1;Time;;;;;
01.09.2023 07:30:00;LVS 3.1;00977;10785:21;22:00;63,8; 2,30; 2,13;  50,595;  46,128;56,9;991,0;16,2;;;23,3;81,6;1;Time;;;;;
01.09.2023 08:30:00;LVS 3.1;00977;10786:21;23:00;63,4; 2,30; 2,11;  52,895;  48,235;57,7;991,0;18,9;;;24,8;70,6;1;Time;;;;;
01.09.2023 09:30:00;LVS 3.1;00977;10787:21;24:00;63,1; 2,30; 2,09;  55,195;  50,328;57,7;991,0;21,0;;;26,5;62,5;1;Time;;;;;
01.09.2023 09:30:03;LVS 3.1;00977;10787:21;24:00;63,1; 2,30; 2,09;  55,197;  50,329;57,9;992,0;22,0;;;27,0;58,7;1;Time;;;end;;
01.09.2023 09:30:03;LVS 3.1;00977;10787:21;24:00;63,1; 2,30; 2,10;  55,197;  50,329;57,9;992,0;20,3;;;26,0;65,4;1;Time;;;average values;;
02.09.2023 16:25:03;LVS 3.1;00977;10787:21;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;995,0;18,3;;;25,4;84,9;1;Time;;;start of measurement;;
03.09.2023 09:30:00;LVS 3.1;00977;10787:21;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;997,0;17,1;;;23,8;75,0;1;Time;;;;
03.09.2023 10:30:00;LVS 3.1;00977;10788:21;1:00;63,2; 2,29; 2,12;   2,295;   2,122;56,4;996,0;17,7;;;23,5;73,7;1;Time;;;;;
03.09.2023 11:30:00;LVS 3.1;00977;10789:21;2:00;62,9; 2,30; 2,11;   4,595;   4,234;56,6;996,0;19,7;;;25,3;62,7;1;Time;;;;;
03.09.2023 12:30:00;LVS 3.1;00977;10790:21;3:00;62,8; 2,30; 2,10;   6,895;   6,334;56,6;996,0;21,4;;;26,7;53,2;1;Time;;;;;
03.09.2023 13:30:00;LVS 3.1;00977;10791:21;4:00;63,1; 2,30; 2,10;   9,195;   8,437;56,0;996,0;20,9;;;26,2;52,9;1;Time;;;;;
03.09.2023 14:30:00;LVS 3.1;00977;10792:21;5:00;62,6; 2,30; 2,10;  11,495;  10,537;56,0;996,0;21,3;;;26,1;52,9;1;Time;;;;;
03.09.2023 15:30:00;LVS 3.1;00977;10793:21;6:00;62,7; 2,30; 2,09;  13,795;  12,692;55,7;996,0;22,4;;;27,0;49,8;1;Time;;;;;
03.09.2023 16:30:00;LVS 3.1;00977;10794:21;7:00;63,0; 2,30; 2,09;  16,095;  14,785;56,2;996,0;22,6;;;27,4;46,5;1;Time;;;;;
03.09.2023 17:30:00;LVS 3.1;00977;10795:21;8:00;62,9; 2,30; 2,10;  18,395;  16,882;55,7;996,0;21,6;;;26,8;49,8;1;Time;;;;;
03.09.2023 18:30:00;LVS 3.1;00977;10796:21;9:00;63,2; 2,30; 2,10;  20,695;  18,980;56,2;996,0;21,4;;;26,3;54,3;1;Time;;;;;
03.09.2023 19:30:00;LVS 3.1;00977;10797:21;10:00;64,2; 2,30; 2,12;  22,995;  21,104;56,5;996,0;17,9;;;25,5;67,4;1;Time;;;;;
03.09.2023 20:30:00;LVS 3.1;00977;10798:21;11:00;64,3; 2,30; 2,14;  25,295;  23,245;56,2;996,0;15,6;;;24,3;75,2;1;Time;;;;;
03.09.2023 21:30:00;LVS 3.1;00977;10799:21;12:00;64,4; 2,30; 2,15;  27,595;  25,393;56,2;996,0;14,8;;;23,6;78,2;1;Time;;;;;
03.09.2023 22:30:00;LVS 3.1;00977;10800:21;13:00;64,4; 2,30; 2,15;  29,895;  27,544;56,8;996,0;14,2;;;23,2;79,9;1;Time;;;;;
03.09.2023 23:30:00;LVS 3.1;00977;10801:21;14:00;64,5; 2,30; 2,16;  32,194;  29,700;56,3;996,0;13,8;;;22,8;83,0;1;Time;;;;;
04.09.2023 00:30:00;LVS 3.1;00977;10802:21;15:00;64,5; 2,30; 2,16;  34,494;  31,860;56,3;996,0;13,2;;;22,4;86,0;1;Time;;;;;
04.09.2023 01:30:00;LVS 3.1;00977;10803:21;16:00;64,5; 2,30; 2,16;  36,794;  34,023;56,9;997,0;12,9;;;22,0;88,9;1;Time;;;;;
04.09.2023 02:30:00;LVS 3.1;00977;10804:21;17:00;64,5; 2,30; 2,16;  39,094;  36,187;56,9;997,0;12,8;;;21,8;88,1;1;Time;;;;;
04.09.2023 03:30:00;LVS 3.1;00977;10805:21;18:00;64,6; 2,30; 2,17;  41,394;  38,354;57,2;997,0;12,3;;;21,5;89,2;1;Time;;;;;
04.09.2023 04:30:00;LVS 3.1;00977;10806:21;19:00;64,6; 2,30; 2,17;  43,694;  40,525;57,2;997,0;11,8;;;21,2;91,0;1;Time;;;;;
04.09.2023 05:30:00;LVS 3.1;00977;10807:21;20:00;64,5; 2,30; 2,17;  45,994;  42,699;56,9;997,0;11,5;;;20,9;92,2;1;Time;;;;;
04.09.2023 06:30:00;LVS 3.1;00977;10808:21;21:00;64,5; 2,30; 2,17;  48,294;  44,869;57,2;997,0;12,1;;;21,0;91,3;1;Time;;;;;
04.09.2023 07:30:00;LVS 3.1;00977;10809:21;22:00;64,1; 2,30; 2,16;  50,594;  47,032;57,2;998,0;13,2;;;21,4;87,6;1;Time;;;;;
