Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
01.01.2024 16:23:01;PNS 18T DM-6.1;10704;15056:54;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;991,0;-12,7;19,6;21,0;24,0;78,7;1;Time;;;start of measurement;;
01.01.2024 16:30:00;PNS 18T DM-6.1;10704;15056:54;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,2;991,0;-12,7;33,8;20,7;24,4;79,0;1;Time;;;;
01.01.2024 17:30:00;PNS 18T DM-6.1;10704;15057:54;1:00;40,7; 2,29; 2,36;   2,294;   2,357;67,1;991,0;-12,9;21,1;20,7;20,3;78,9;1;Time;;;;;
01.01.2024 18:30:00;PNS 18T DM-6.1;10704;15058:54;2:00;41,2; 2,30; 2,36;   4,592;   4,718;67,0;990,0;-13,0;21,4;20,7;21,8;78,9;1;Time;;;;;
01.01.2024 19:30:00;PNS 18T DM-6.1;10704;15059:54;3:00;41,4; 2,30; 2,36;   6,890;   7,082;66,7;990,0;-13,3;22,6;20,7;22,9;78,8;1;Time;;;;;
01.01.2024 20:30:00;PNS 18T DM-6.1;10704;15060:54;4:00;41,4; 2,30; 2,37;   9,187;   9,450;67,5;991,0;-13,7;18,0;20,7;23,3;79,2;1;Time;;;;;
01.01.2024 21:30:00;PNS 18T DM-6.1;10704;15061:54;5:00;41,5; 2,30; 2,37;  11,485;  11,818;68,1;991,0;-13,8;13,9;20,7;23,7;80,3;1;Time;;;;;
01.01.2024 22:30:00;PNS 18T DM-6.1;10704;15062:54;6:00;41,6; 2,30; 2,37;  13,783;  14,190;67,4;990,0;-14,2;14,1;20,7;23,9;80,5;1;Time;;;;;
01.01.2024 23:30:00;PNS 18T DM-6.1;10704;15063:54;7:00;41,6; 2,30; 2,38;  16,080;  16,566;68,0;991,0;-14,6;14,1;20,7;23,9;81,4;1;Time;;;;;
02.01.2024 00:30:00;PNS 18T DM-6.1;10704;15064:54;8:00;41,4; 2,30; 2,38;  18,378;  18,945;68,3;991,0;-14,9;14,1;20,7;23,9;80,9;1;Time;;;;;
02.01.2024 01:30:00;PNS 18T DM-6.1;10704;15065:54;9:00;41,4; 2,30; 2,38;  20,676;  21,323;68,9;991,0;-14,7;14,1;20,7;23,8;79,9;1;Time;;;;;
02.01.2024 02:30:00;PNS 18T DM-6.1;10704;15066:54;10:00;41,4; 2,30; 2,38;  22,973;  23,703;68,6;990,0;-15,1;14,1;20,7;23,9;79,9;1;Time;;;;;
02.01.2024 03:30:00;PNS 18T DM-6.1;10704;15067:54;11:00;41,6; 2,30; 2,38;  25,271;  26,087;68,6;990,0;-15,6;13,9;20,7;23,7;80,0;1;Time;;;;;
