Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
01.08.2023 00:00:00;LVS 3.1;00977;10530:22;7:00;63,7; 2,30; 2,11;  16,095;  14,615;56,4;986,0;16,9;;;22,1;78,6;1;Time;;;;;
01.08.2023 01:00:00;LVS 3.1;00977;10531:22;8:00;63,5; 2,30; 2,10;  18,395;  16,716;56,4;986,0;18,1;;;22,3;73,0;1;Time;;;;;
01.08.2023 02:00:00;LVS 3.1;00977;10532:22;9:00;63,6; 2,30; 2,10;  20,695;  18,821;56,7;986,0;17,6;;;22,5;74,9;1;Time;;;;;
01.08.2023 03:00:00;LVS 3.1;00977;10533:22;10:00;64,1; 2,30; 2,11;  22,995;  20,926;56,7;986,0;17,5;;;22,6;75,8;1;Time;;;;;
01.08.2023 04:00:00;LVS 3.1;00977;10534:22;11:00;64,3; 2,30; 2,12;  25,295;  23,046;57,3;986,0;15,6;;;22,1;84,7;1;Time;;;;;
01.08.2023 05:00:00;LVS 3.1;00977;10535:22;12:00;64,2; 2,30; 2,12;  27,595;  25,167;56,7;986,0;15,3;;;21,9;86,1;1;Time;;;;;
01.08.2023 06:00:00;LVS 3.1;00977;10536:22;13:00;64,0; 2,30; 2,12;  29,895;  27,287;57,0;986,0;15,6;;;21,9;85,6;1;Time;;;;;
01.08.2023 07:00:00;LVS 3.1;00977;10537:22;14:00;63,1; 2,30; 2,10;  32,195;  29,388;56,7;986,0;18,2;;;22,5;78,4;1;Time;;;;;
01.08.2023 08:00:00;LVS 3.1;00977;10538:22;15:00;62,6; 2,30; 2,07;  34,495;  31,454;57,6;987,0;23,3;;;24,4;59,2;1;Time;;;;;
01.08.2023 09:00:00;LVS 3.1;00977;10539:22;16:00;62,6; 2,30; 2,06;  36,795;  33,514;58,1;987,0;24,3;;;26,4;53,0;1;Time;;;;;
01.08.2023 10:00:00;LVS 3.1;00977;10540:22;17:00;62,6; 2,30; 2,06;  39,095;  35,570;58,7;987,0;24,9;;;27,6;50,1;1;Time;;;;;
01.08.2023 11:00:00;LVS 3.1;00977;10541:22;18:00;63,0; 2,30; 2,06;  41,395;  37,626;58,1;987,0;24,7;;;28,1;50,3;1;Time;;;;;
01.08.2023 12:00:00;LVS 3.1;00977;10542:22;19:00;62,9; 2,30; 2,05;  43,696;  39,680;58,1;987,0;25,1;;;27,6;48,7;1;Time;;;;;
01.08.2023 13:00:00;LVS 3.1;00977;10543:22;20:00;62,3; 2,30; 2,06;  45,996;  41,736;57,5;987,0;24,7;;;27,4;51,3;1;Time;;;;;
01.08.2023 14:00:00;LVS 3.1;00977;10544:22;21:00;62,4; 2,30; 2,04;  48,296;  43,778;58,3;986,0;26,6;;;28,2;44,4;1;Time;;;;;
01.08.2023 15:00:00;LVS 3.1;00977;10545:22;22:00;62,6; 2,30; 2,05;  50,596;  45,825;57,7;986,0;25,9;;;28,7;47,1;1;Time;;;;;
