Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
06.12.2023 10:23:54;PNS 18T DM-6.1;10704;14888:55;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,5;1006,0;-8,1;25,7;20,0;21,2;84,3;1;Time;;;start of measurement;;
06.12.2023 10:30:00;PNS 18T DM-6.1;10704;14888:55;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;1006,0;-8,1;25,7;21,1;21,0;82,7;1;Time;;;;
06.12.2023 11:30:00;PNS 18T DM-6.1;10704;14889:55;1:00;39,4; 2,29; 2,35;   2,295;   2,354;67,4;1006,0;-8,4;12,1;20,7;17,0;82,2;1;Time;;;;;
06.12.2023 12:30:00;PNS 18T DM-6.1;10704;14890:55;2:00;39,6; 2,30; 2,34;   4,603;   4,695;66,4;1006,0;-6,6;12,6;20,7;18,9;74,4;1;Time;;;;;
06.12.2023 13:30:00;PNS 18T DM-6.1;10704;14891:55;3:00;39,9; 2,30; 2,34;   6,901;   7,036;66,6;1006,0;-6,5;14,1;20,7;20,6;73,0;1;Time;;;;;
06.12.2023 14:30:00;PNS 18T DM-6.1;10704;14892:55;4:00;40,4; 2,30; 2,34;   9,198;   9,378;69,1;1006,0;-6,7;15,1;20,6;21,9;71,9;1;Time;;;;;
06.12.2023 15:30:00;PNS 18T DM-6.1;10704;14893:55;5:00;40,6; 2,30; 2,36;  11,496;  11,737;69,6;1006,0;-8,6;15,6;20,6;22,6;79,4;1;Time;;;;;
06.12.2023 16:30:00;PNS 18T DM-6.1;10704;14894:55;6:00;40,8; 2,30; 2,37;  13,794;  14,111;69,2;1007,0;-10,1;16,0;20,7;23,1;84,7;1;Time;;;;;
06.12.2023 17:30:00;PNS 18T DM-6.1;10704;14895:55;7:00;40,8; 2,30; 2,38;  16,091;  16,486;68,9;1007,0;-10,1;16,3;20,6;23,4;86,4;1;Time;;;;;
06.12.2023 18:30:00;PNS 18T DM-6.1;10704;14896:55;8:00;40,8; 2,30; 2,37;  18,389;  18,859;69,8;1007,0;-9,9;16,8;20,7;23,8;86,1;1;Time;;;;;
06.12.2023 19:30:00;PNS 18T DM-6.1;10704;14897:55;9:00;40,8; 2,30; 2,37;  20,687;  21,231;69,7;1008,0;-9,6;17,1;20,7;24,2;86,9;1;Time;;;;;
06.12.2023 20:30:00;PNS 18T DM-6.1;10704;14898:55;10:00;40,7; 2,30; 2,36;  22,984;  23,596;70,5;1009,0;-8,7;17,6;20,7;24,6;85,4;1;Time;;;;;
06.12.2023 21:30:00;PNS 18T DM-6.1;10704;14899:55;11:00;40,7; 2,30; 2,36;  25,282;  25,960;70,2;1009,0;-8,6;18,0;20,7;25,0;84,0;1;Time;;;;;
06.12.2023 22:30:00;PNS 18T DM-6.1;10704;14900:55;12:00;40,8; 2,30; 2,37;  27,580;  28,328;70,5;1009,0;-8,8;18,3;20,7;25,3;85,2;1;Time;;;;;
06.12.2023 23:30:00;PNS 18T DM-6.1;10704;14901:55;13:00;40,8; 2,30; 2,37;  29,877;  30,696;70,2;1010,0;-8,8;18,6;20,7;25,6;85,8;1;Time;;;;;
07.12.2023 00:30:00;PNS 18T DM-6.1;10704;14902:55;14:00;40,9; 2,30; 2,37;  32,175;  33,067;70,7;1010,0;-8,9;18,9;20,7;25,9;85,8;1;Time;;;;;
07.12.2023 01:30:00;PNS 18T DM-6.1;10704;14903:55;15:00;40,9; 2,30; 2,37;  34,473;  35,437;71,0;1010,0;-8,8;19,2;20,7;26,1;85,8;1;Time;;;;;
07.12.2023 02:30:00;PNS 18T DM-6.1;10704;14904:55;16:00;41,0; 2,30; 2,38;  36,770;  37,811;72,1;1011,0;-9,2;19,4;20,7;26,4;86,0;1;Time;;;;;
07.12.2023 03:30:00;PNS 18T DM-6.1;10704;14905:55;17:00;41,1; 2,30; 2,38;  39,068;  40,192;72,9;1011,0;-9,9;19,5;20,6;26,5;86,5;1;Time;;;;;
07.12.2023 04:30:00;PNS 18T DM-6.1;10704;14906:55;18:00;41,1; 2,30; 2,39;  41,366;  42,578;72,1;1011,0;-10,4;19,5;20,7;26,6;87,4;1;Time;;;;;
07.12.2023 05:30:00;PNS 18T DM-6.1;10704;14907:55;19:00;41,0; 2,30; 2,39;  43,663;  44,965;71,8;1011,0;-10,4;19,5;20,6;26,6;87,5;1;Time;;;;;
07.12.2023 06:30:00;PNS 18T DM-6.1;10704;14908:55;20:00;41,2; 2,30; 2,39;  45,961;  47,353;73,2;1012,0;-10,4;19,7;20,7;26,8;86,9;1;Time;;;;;
07.12.2023 07:30:00;PNS 18T DM-6.1;10704;14909:55;21:00;41,2; 2,30; 2,39;  48,259;  49,744;72,6;1012,0;-10,6;19,8;20,6;26,8;86,2;1;Time;;;;;
07.12.2023 08:30:00;PNS 18T DM-6.1;10704;14910:55;22:00;41,3; 2,30; 2,39;  50,556;  52,138;72,1;1013,0;-10,9;19,8;20,6;26,9;86,1;1;Time;;;;;
07.12.2023 09:30:00;PNS 18T DM-6.1;10704;14911:55;23:00;41,3; 2,30; 2,40;  52,854;  54,536;72,9;1013,0;-11,1;19,8;20,7;27,0;86,3;1;Time;;;;;
07.12.2023 10:30:00;PNS 18T DM-6.1;10704;14912:55;24:00;41,2; 2,30; 2,40;  55,151;  56,935;72,6;1014,0;-11,2;19,8;20,7;26,8;85,1;1;Time;;;;;
07.12.2023 10:30:03;PNS 18T DM-6.1;10704;14912:55;24:00;41,2; 2,30; 2,39;  55,153;  56,937;73,5;1014,0;-10,9;19,8;21,2;26,8;83,1;1;Time;;;end;;
07.12.2023 10:30:25;PNS 18T DM-6.1;10704;14912:55;24:00;41,2; 2,30; 2,38;  55,153;  56,937;74,3;1010,0;-9,3;17,6;20,7;24,5;84,0;1;Time;;;average values;;
09.12.2023 09:32:01;PNS 18T DM-6.1;10704;14912:55;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,9;1011,0;-14,5;19,8;21,2;17,2;82,6;1;Time;;;start of measurement;;
09.12.2023 09:32:02;PNS 18T DM-6.1;10704;14912:55;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;1011,0;-14,5;19,8;21,2;17,4;82,5;1;Time;;;;
09.12.2023 10:32:02;PNS 18T DM-6.1;10704;14913:55;0:59;39,5; 2,29; 2,42;   2,294;   2,417;68,3;1010,0;-14,5; 8,6;20,2;12,1;83,1;1;Time;;;;;
09.12.2023 11:32:02;PNS 18T DM-6.1;10704;14914:55;1:59;40,1; 2,30; 2,42;   4,591;   4,837;67,6;1010,0;-14,3; 8,8;21,1;14,1;82,3;1;Time;;;;;
09.12.2023 12:32:02;PNS 18T DM-6.1;10704;14915:55;2:59;40,1; 2,30; 2,42;   6,889;   7,270;67,8;1009,0;-14,1; 9,7;21,2;15,7;81,7;1;Time;;;;;
09.12.2023 13:32:02;PNS 18T DM-6.1;10704;14916:55;3:59;40,3; 2,30; 2,41;   9,187;   9,684;69,1;1009,0;-14,0;10,3;21,0;16,6;80,8;1;Time;;;;;
09.12.2023 14:32:02;PNS 18T DM-6.1;10704;14917:55;4:59;40,3; 2,30; 2,41;  11,484;  12,132;69,1;1008,0;-14,1;10,7;20,9;17,2;81,4;1;Time;;;;;
09.12.2023 15:32:02;PNS 18T DM-6.1;10704;14918:55;5:59;40,5; 2,30; 2,41;  13,782;  14,544;69,0;1008,0;-14,1;11,1;20,9;17,7;81,9;1;Time;;;;;
09.12.2023 16:32:02;PNS 18T DM-6.1;10704;14919:55;6:59;40,5; 2,30; 2,41;  16,080;  16,966;69,5;1008,0;-14,2;11,3;20,9;18,0;82,8;1;Time;;;;;
09.12.2023 17:32:02;PNS 18T DM-6.1;10704;14920:55;7:59;40,6; 2,30; 2,42;  18,377;  19,381;69,8;1007,0;-14,5;11,6;20,8;18,4;82,6;1;Time;;;;;
09.12.2023 18:32:02;PNS 18T DM-6.1;10704;14921:55;8:59;40,7; 2,30; 2,42;  20,675;  22,030;69,5;1007,0;-14,8;11,8;20,8;18,7;82,5;1;Time;;;;;
09.12.2023 19:32:02;PNS 18T DM-6.1;10704;14922:55;9:59;40,8; 2,30; 2,42;  22,973;  24,456;71,2;1007,0;-14,8;12,1;20,7;19,0;83,1;1;Time;;;;;
09.12.2023 20:32:02;PNS 18T DM-6.1;10704;14923:55;10:59;40,8; 2,30; 2,42;  25,270;  26,873;70,6;1007,0;-14,8;12,5;20,7;19,4;83,7;1;Time;;;;;
09.12.2023 21:32:02;PNS 18T DM-6.1;10704;14924:55;11:59;40,8; 2,30; 2,41;  27,568;  29,287;70,3;1006,0;-14,6;12,8;20,7;19,8;83,9;1;Time;;;;;
09.12.2023 22:32:02;PNS 18T DM-6.1;10704;14925:55;12:59;40,8; 2,30; 2,41;  29,866;  31,700;70,2;1006,0;-14,6;13,1;20,7;20,1;84,0;1;Time;;;;;
09.12.2023 23:32:02;PNS 18T DM-6.1;10704;14926:55;13:59;40,9; 2,30; 2,41;  32,163;  34,112;71,3;1006,0;-14,6;13,3;20,6;20,4;84,2;1;Time;;;;;
10.12.2023 00:32:02;PNS 18T DM-6.1;10704;14927:55;14:59;40,8; 2,30; 2,41;  34,461;  36,521;71,6;1006,0;-14,3;13,6;20,6;20,7;84,6;1;Time;;;;;
10.12.2023 01:32:02;PNS 18T DM-6.1;10704;14928:55;15:59;40,8; 2,30; 2,40;  36,759;  38,926;71,0;1005,0;-14,0;13,9;20,6;21,1;84,8;1;Time;;;;;
10.12.2023 02:32:02;PNS 18T DM-6.1;10704;14929:55;16:59;40,7; 2,30; 2,40;  39,056;  41,326;71,5;1005,0;-13,7;14,2;20,6;21,4;85,1;1;Time;;;;;
10.12.2023 03:32:02;PNS 18T DM-6.1;10704;14930:55;17:59;40,8; 2,30; 2,40;  41,354;  43,724;71,0;1004,0;-13,4;14,6;20,6;21,8;85,4;1;Time;;;;;
10.12.2023 04:32:02;PNS 18T DM-6.1;10704;14931:55;18:59;40,8; 2,30; 2,40;  43,652;  46,120;70,7;1004,0;-13,3;14,9;20,6;22,2;85,7;1;Time;;;;;
10.12.2023 05:32:02;PNS 18T DM-6.1;10704;14932:55;19:59;40,9; 2,30; 2,40;  45,950;  48,516;71,5;1004,0;-13,4;15,2;20,6;22,5;85,9;1;Time;;;;;
10.12.2023 06:32:02;PNS 18T DM-6.1;10704;14933:55;20:59;40,9; 2,30; 2,39;  48,247;  50,910;71,7;1003,0;-13,3;15,5;20,6;22,9;86,4;1;Time;;;;;
10.12.2023 07:32:02;PNS 18T DM-6.1;10704;14934:55;21:59;40,9; 2,30; 2,39;  50,545;  53,303;72,0;1003,0;-13,1;15,8;20,6;23,2;86,6;1;Time;;;;;
10.12.2023 08:32:02;PNS 18T DM-6.1;10704;14935:55;22:59;41,0; 2,30; 2,39;  52,843;  55,695;72,3;1003,0;-13,0;16,0;20,6;23,4;86,5;1;Time;;;;;
10.12.2023 09:31:03;PNS 18T DM-6.1;10704;14936:54;23:59;41,0; 2,30; 2,39;  55,103;  58,047;72,0;1003,0;-13,1;16,2;20,6;23,6;86,7;1;Time;;;end;;
10.12.2023 09:31:25;PNS 18T DM-6.1;10704;14936:54;23:59;41,0; 2,30; 2,41;  55,103;  58,047;72,0;1007,0;-14,0;12,8;20,7;19,6;84,0;1;Time;;;average values;;
12.12.2023 10:43:59;PNS 18T DM-6.1;10704;14936:54;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;994,0;-6,7;16,2;21,7;21,6;85,0;1;Time;;;start of measurement;;
12.12.2023 11:00:00;PNS 18T DM-6.1;10704;14936:54;0:00; 0,0; 0,00; 0,00;   0,000;   0,000; 0,0;994,0;-6,7;29,0;20,5;21,2;84,7;1;Time;;;;
12.12.2023 12:00:00;PNS 18T DM-6.1;10704;14937:54;1:00;39,1; 2,29; 2,31;   2,295;   2,314;66,3;994,0;-6,6;16,0;20,8;17,1;84,8;1;Time;;;;;
12.12.2023 13:00:00;PNS 18T DM-6.1;10704;14938:54;2:00;39,4; 2,30; 2,31;   4,592;   4,624;65,6;994,0;-6,3;15,8;20,8;18,7;83,1;1;Time;;;;;
12.12.2023 14:00:00;PNS 18T DM-6.1;10704;14939:54;3:00;39,6; 2,30; 2,31;   6,890;   6,976;65,7;994,0;-6,5;16,3;20,7;20,0;83,1;1;Time;;;;;
