timestamp,datetime,CH4,CO,NO,NO2,OZ,PM10,PM2.5,SO2
1688169600,01.07.2023 00:00,1.34,0.73,0.065,0.087,0.0014,0.019,0.012,0.0021
1688173200,01.07.2023 01:00,1.35,0.6,0.046,0.095,0.0014,0.02,0.013,0.0017
1688176800,01.07.2023 02:00,1.33,0.3,0.006,0.088,0.0049,0.011,0.007,0.0012
1688180400,01.07.2023 03:00,1.34,0.23,0.001,0.061,0.0127,0.016,0.01,0.001
1688184000,01.07.2023 04:00,1.33,0.1,0.001,0.027,0.0209,0.016,0.01,0.0007
1688187600,01.07.2023 05:00,1.31,0.1,0.0,0.015,0.0223,0.014,0.009,0.0008
1688191200,01.07.2023 06:00,1.3,0.1,0.001,0.016,0.0201,0.014,0.01,0.001
1688194800,01.07.2023 07:00,1.3,0.1,0.002,0.016,0.0218,0.015,0.011,0.001
1688198400,01.07.2023 08:00,1.29,0.1,0.003,0.015,0.0263,0.014,0.009,0.0009
1688202000,01.07.2023 09:00,1.29,0.1,0.003,0.016,0.0313,0.015,0.009,0.0012
1688205600,01.07.2023 10:00,1.29,0.1,0.002,0.013,0.0451,0.015,0.007,0.0011
1688209200,01.07.2023 11:00,1.28,0.1,0.002,0.011,0.0552,0.013,0.005,0.0011
1688212800,01.07.2023 12:00,1.28,0.1,0.001,0.01,0.0607,0.011,0.005,0.0012
1688216400,01.07.2023 13:00,1.28,0.1,0.002,0.012,0.0644,0.011,0.007,0.0011
1688220000,01.07.2023 14:00,1.26,0.13,0.001,0.011,0.0666,0.011,0.007,0.001
1688223600,01.07.2023 15:00,1.27,0.1,0.001,0.011,0.0649,0.014,0.005,0.001
1688227200,01.07.2023 16:00,1.27,0.1,0.001,0.012,0.0602,0.02,0.011,0.0011
1688230800,01.07.2023 17:00,1.28,0.1,0.001,0.013,0.0599,0.018,0.009,0.0012
1688234400,01.07.2023 18:00,1.28,0.1,0.001,0.011,0.0718,0.01,0.007,0.001
1688238000,01.07.2023 19:00,1.28,0.1,0.001,0.017,0.0723,0.023,0.013,0.0007
1688241600,01.07.2023 20:00,1.28,0.13,0.001,0.03,0.0634,0.023,0.01,0.0013
1688245200,01.07.2023 21:00,1.3,0.2,0.0,0.04,0.0553,0.035,0.013,0.0015
1688248800,01.07.2023 22:00,1.3,0.1,0.0,0.027,0.0657,0.025,0.015,0.0012
1688252400,01.07.2023 23:00,1.3,0.1,0.0,0.028,0.0512,0.019,0.012,0.0012
1688256000,02.07.2023 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1688256000,02.07.2023 00:00,1.31,0.13,0.0,0.034,0.0434,0.014,0.01,0.0013
1688259600,02.07.2023 01:00,1.32,0.13,0.0,0.035,0.0393,0.014,0.01,0.001
1688263200,02.07.2023 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1688263200,02.07.2023 02:00,1.31,0.13,0.0,0.03,0.0381,0.016,0.01,0.0009
1688266800,02.07.2023 03:00,1.32,0.1,0.0,0.028,0.0374,0.018,0.011,0.0013
1688270400,02.07.2023 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1688270400,02.07.2023 04:00,1.31,0.1,0.0,0.015,0.041,0.017,0.01,0.0013
1688274000,02.07.2023 05:00,1.31,0.1,0.0,0.014,0.0395,0.017,0.01,0.0015
1688277600,02.07.2023 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1688277600,02.07.2023 06:00,1.3,0.1,0.001,0.014,0.0388,0.016,0.009,0.0013
1688281200,02.07.2023 07:00,1.3,0.03,0.0,0.009,0.0404,0.012,0.007,0.0012
1688284800,02.07.2023 08:00,1.29,0.03,0.001,0.009,0.0387,0.015,0.008,0.0013
1688288400,02.07.2023 09:00,1.29,0.1,0.002,0.01,0.0425,0.017,0.008,0.0013
1688292000,02.07.2023 10:00,1.28,0.03,0.002,0.009,0.0513,0.014,0.007,0.0014
1688295600,02.07.2023 11:00,1.27,0.0,0.001,0.01,0.0599,0.015,0.006,0.0016
1688299200,02.07.2023 12:00,1.27,0.03,0.001,0.01,0.0618,0.014,0.005,0.0016
1688302800,02.07.2023 13:00,1.27,0.0,0.001,0.009,0.0646,0.012,0.005,0.0015
1688306400,02.07.2023 14:00,1.26,0.03,0.002,0.01,0.0644,0.01,0.009,0.0015
1688310000,02.07.2023 15:00,1.26,0.1,0.002,0.011,0.0683,0.011,0.004,0.0013
1688313600,02.07.2023 16:00,1.26,0.1,0.001,0.01,0.0749,0.017,0.006,0.0013
1688317200,02.07.2023 17:00,1.26,0.37,0.001,0.01,0.0764,0.02,0.007,0.0013
1688320800,02.07.2023 18:00,1.26,0.17,0.001,0.01,0.0783,0.021,0.009,0.0013
