Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"0,0","0,00","0,00","0,000","0,000","0,0","987,0","12,4",,,"26,4","84,6",1,,2023-10-01 09:30:00
"64,6","2,29","2,14","2,295","2,142","56,7","987,0","12,2",,,"22,9","87,9",1,,2023-10-01 10:30:00
"64,6","2,30","2,15","4,595","4,291","56,7","987,0","12,1",,,"22,8","89,9",1,,2023-10-01 11:30:00
"64,3","2,30","2,14","6,895","6,433","57,0","987,0","12,9",,,"23,3","84,0",1,,2023-10-01 12:30:00
"64,1","2,30","2,13","9,195","8,567","56,7","988,0","14,3",,,"24,3","73,8",1,,2023-10-01 13:30:00
"64,3","2,30","2,13","11,495","10,691","56,9","988,0","15,6",,,"25,4","65,4",1,,2023-10-01 14:30:00
"64,3","2,30","2,13","13,795","12,820","57,2","988,0","15,0",,,"25,2","64,8",1,,2023-10-01 15:30:00
"64,4","2,30","2,13","16,095","14,953","56,9","988,0","14,5",,,"24,8","61,8",1,,2023-10-01 16:30:00
"64,5","2,30","2,14","18,395","17,091","57,2","988,0","13,8",,,"24,3","66,3",1,,2023-10-01 17:30:00
"64,6","2,30","2,14","20,695","19,233","57,2","989,0","13,4",,,"24,0","69,1",1,,2023-10-01 18:30:00
"64,6","2,30","2,15","22,995","21,379","56,9","989,0","12,8",,,"23,7","69,7",1,,2023-10-01 19:30:00
"64,6","2,30","2,15","25,295","23,529","56,7","989,0","12,3",,,"23,3","68,8",1,,2023-10-01 20:30:00
"64,7","2,30","2,15","27,595","25,684","56,7","989,0","11,7",,,"22,9","70,1",1,,2023-10-01 21:30:00
"64,8","2,30","2,16","29,895","27,841","57,0","989,0","11,4",,,"22,7","73,2",1,,2023-10-01 22:30:00
"64,8","2,30","2,16","32,195","30,000","57,0","989,0","11,1",,,"22,6","75,5",1,,2023-10-01 23:30:00
"64,9","2,30","2,16","34,495","32,162","57,0","988,0","10,6",,,"22,3","78,6",1,,2023-10-02 00:30:00
"64,9","2,30","2,17","36,795","34,328","57,4","988,0","10,2",,,"22,1","81,7",1,,2023-10-02 01:30:00
"65,1","2,30","2,17","39,095","36,496","56,8","988,0","9,8",,,"21,4","83,9",1,,2023-10-02 02:30:00
"65,2","2,30","2,17","41,395","38,666","56,5","988,0","9,5",,,"21,3","85,4",1,,2023-10-02 03:30:00
"65,2","2,30","2,17","43,695","40,836","56,5","988,0","9,4",,,"21,2","86,7",1,,2023-10-02 04:30:00
"65,3","2,30","2,18","45,995","43,011","56,8","988,0","8,9",,,"21,2","88,6",1,,2023-10-02 05:30:00
"65,4","2,30","2,18","48,295","45,193","57,1","988,0","8,1",,,"21,1","90,3",1,,2023-10-02 06:30:00
"65,4","2,30","2,18","50,595","47,376","56,8","989,0","8,0",,,"20,8","91,8",1,,2023-10-02 07:30:00
"65,3","2,30","2,18","52,895","49,558","56,8","989,0","8,2",,,"20,9","92,2",1,,2023-10-02 08:30:00
"65,2","2,30","2,18","55,195","51,738","57,1","989,0","8,6",,,"21,1","91,1",1,,2023-10-02 09:30:00
"65,3","2,30","2,18","55,197","51,740","56,8","990,0","8,9",,,"21,2","90,3",1,,2023-10-02 09:30:03
"65,3","2,30","2,16","55,197","51,740","56,8","989,0","11,4",,,"22,7","78,8",1,,2023-10-02 09:30:03
"0,0","0,00","0,00","0,000","0,000","0,0","994,0","14,7",,,"25,2","54,2",1,,2023-10-03 15:46:48
"0,0","0,00","0,00","0,000","0,000","0,0","983,0","13,9",,,"26,0","66,7",1,,2023-10-04 09:30:00
"63,8","2,29","2,12","2,295","2,117","57,0","982,0","14,2",,,"22,9","65,3",1,,2023-10-04 10:30:00
"63,7","2,30","2,11","4,595","4,229","57,0","981,0","15,2",,,"23,3","61,7",1,,2023-10-04 11:30:00
"63,4","2,30","2,10","6,895","6,331","56,7","981,0","16,5",,,"23,8","58,0",1,,2023-10-04 12:30:00
"63,5","2,30","2,09","9,195","8,437","57,6","980,0","17,6",,,"24,7","55,0",1,,2023-10-04 13:30:00
"63,6","2,30","2,10","11,495","10,533","57,3","981,0","17,2",,,"24,4","57,2",1,,2023-10-04 14:30:00
"64,1","2,30","2,11","13,795","12,645","57,0","982,0","15,4",,,"23,5","68,4",1,,2023-10-04 15:30:00
"64,5","2,30","2,13","16,095","14,771","57,6","982,0","13,7",,,"22,8","79,8",1,,2023-10-04 16:30:00
"64,5","2,30","2,13","18,395","16,903","57,3","982,0","12,8",,,"22,4","85,9",1,,2023-10-04 17:30:00
"64,5","2,30","2,13","20,695","19,037","57,6","983,0","12,9",,,"22,3","84,6",1,,2023-10-04 18:30:00
"64,6","2,30","2,14","22,995","21,177","57,9","984,0","12,4",,,"22,1","84,8",1,,2023-10-04 19:30:00
"64,5","2,30","2,14","25,295","23,320","57,6","985,0","12,2",,,"22,0","78,8",1,,2023-10-04 20:30:00
"64,6","2,30","2,15","27,595","25,467","57,6","986,0","11,9",,,"21,9","73,4",1,,2023-10-04 21:30:00
"64,7","2,30","2,15","29,895","27,618","57,0","986,0","11,5",,,"21,8","74,1",1,,2023-10-04 22:30:00
"64,7","2,30","2,15","32,195","29,773","57,8","986,0","11,1",,,"21,7","73,3",1,,2023-10-04 23:30:00
"64,8","2,30","2,16","34,495","31,931","57,8","986,0","10,5",,,"21,6","73,9",1,,2023-10-05 00:30:00
"64,9","2,30","2,16","36,795","34,092","57,5","986,0","10,2",,,"21,5","74,7",1,,2023-10-05 01:30:00
"65,1","2,30","2,17","39,095","36,257","57,1","987,0","9,8",,,"20,7","76,0",1,,2023-10-05 02:30:00
"65,3","2,30","2,17","41,395","38,428","57,3","987,0","9,0",,,"20,7","79,9",1,,2023-10-05 03:30:00
"65,4","2,30","2,17","43,695","40,602","57,3","987,0","8,7",,,"20,6","82,1",1,,2023-10-05 04:30:00
"65,5","2,30","2,18","45,995","42,779","57,3","987,0","8,2",,,"20,5","84,8",1,,2023-10-05 05:30:00
"65,5","2,30","2,18","48,295","44,958","57,3","987,0","8,0",,,"20,4","86,7",1,,2023-10-05 06:30:00
"65,4","2,30","2,18","50,595","47,137","57,3","987,0","8,1",,,"20,4","86,9",1,,2023-10-05 07:30:00
"65,3","2,30","2,17","52,895","49,311","57,6","987,0","8,7",,,"20,7","85,4",1,,2023-10-05 08:30:00
"65,1","2,30","2,17","55,195","51,478","57,6","987,0","9,7",,,"21,2","82,9",1,,2023-10-05 09:30:00
"65,0","2,30","2,16","55,197","51,480","57,6","988,0","10,4",,,"21,6","81,4",1,,2023-10-05 09:30:03
"65,0","2,30","2,14","55,197","51,480","57,0","985,0","11,9",,,"22,0","75,6",1,,2023-10-05 09:30:03
"0,0","0,00","0,00","0,000","0,000","0,0","977,0","9,9",,,"27,4","83,3",1,,2023-10-06 09:42:37
"0,0","0,00","0,00","0,000","0,000","0,0","976,0","3,0",,,"26,4","69,5",1,,2023-10-07 09:30:00
"66,2","2,29","2,19","2,295","2,192","56,9","974,0","2,1",,,"18,2","81,2",1,,2023-10-07 10:30:00
"66,3","2,30","2,19","4,595","4,381","56,8","971,0","2,2",,,"17,7","89,5",1,,2023-10-07 11:30:00
"66,1","2,30","2,18","6,895","6,558","55,8","968,0","2,9",,,"18,2","91,2",1,,2023-10-07 12:30:00
"66,0","2,30","2,17","9,195","8,723","56,1","966,0","3,8",,,"18,8","90,8",1,,2023-10-07 13:30:00
"65,9","2,30","2,16","11,495","10,879","56,1","964,0","4,4",,,"19,1","91,6",1,,2023-10-07 14:30:00
"65,8","2,30","2,14","13,795","13,022","56,4","962,0","5,4",,,"19,5","92,2",1,,2023-10-07 15:30:00
"65,7","2,30","2,13","16,095","15,156","56,4","959,0","5,9",,,"20,0","93,3",1,,2023-10-07 16:30:00
"65,5","2,30","2,12","18,395","17,280","56,3","958,0","6,8",,,"20,4","92,9",1,,2023-10-07 17:30:00
"65,4","2,30","2,11","20,695","19,394","56,0","956,0","7,7",,,"20,8","93,0",1,,2023-10-07 18:30:00
"65,2","2,30","2,10","22,995","21,499","56,0","955,0","8,5",,,"21,1","92,8",1,,2023-10-07 19:30:00
"65,3","2,30","2,10","25,295","23,603","56,0","955,0","8,4",,,"21,2","89,3",1,,2023-10-07 20:30:00
"65,2","2,30","2,10","27,595","25,706","56,0","954,0","8,5",,,"21,1","87,6",1,,2023-10-07 21:30:00
"65,4","2,30","2,10","29,895","27,809","56,3","954,0","8,5",,,"21,2","85,7",1,,2023-10-07 22:30:00
"65,8","2,30","2,12","32,195","29,930","56,0","955,0","6,4",,,"20,8","88,0",1,,2023-10-07 23:30:00
"65,8","2,30","2,12","34,495","32,055","56,3","955,0","6,0",,,"20,4","83,2",1,,2023-10-08 00:30:00
"65,8","2,30","2,13","36,795","34,181","56,3","956,0","5,8",,,"20,3","79,2",1,,2023-10-08 01:30:00
"65,9","2,30","2,13","39,095","36,308","56,7","956,0","5,8",,,"20,4","79,7",1,,2023-10-08 02:30:00
"65,9","2,30","2,13","41,395","38,438","56,3","956,0","5,4",,,"20,2","79,4",1,,2023-10-08 03:30:00
"65,9","2,30","2,13","43,695","40,570","56,3","956,0","5,1",,,"20,2","75,8",1,,2023-10-08 04:30:00
