Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"0,0","0,00","0,00","0,000","0,000","0,0","987,0","12,4","34,7","19,9","25,2","85,7",1,,2023-10-01 09:30:00
"37,2","2,29","2,14","2,295","2,142","65,2","987,0","12,2","28,9","20,7","24,9","88,9",1,,2023-10-01 10:30:00
"37,6","2,30","2,15","4,592","4,288","65,7","987,0","12,0","29,0","20,7","25,6","91,2",1,,2023-10-01 11:30:00
"37,5","2,30","2,14","6,890","6,429","65,4","987,0","12,9","29,9","20,7","26,0","85,2",1,,2023-10-01 12:30:00
"37,5","2,30","2,13","9,188","8,560","65,1","988,0","14,3","31,1","20,7","26,6","74,6",1,,2023-10-01 13:30:00
"37,6","2,30","2,12","11,485","10,681","65,4","988,0","15,7","31,8","20,7","27,1","66,0",1,,2023-10-01 14:30:00
"37,7","2,30","2,13","13,783","12,808","65,6","988,0","15,0","31,9","20,7","27,4","65,5",1,,2023-10-01 15:30:00
"37,7","2,30","2,13","16,081","14,939","65,3","988,0","14,4","31,7","20,6","27,3","62,7",1,,2023-10-01 16:30:00
"37,8","2,30","2,14","18,379","17,075","65,6","988,0","13,8","31,2","20,7","27,2","67,3",1,,2023-10-01 17:30:00
"37,9","2,30","2,14","20,676","19,215","65,9","988,0","13,3","30,9","20,7","27,0","70,1",1,,2023-10-01 18:30:00
"38,0","2,30","2,14","22,974","21,359","65,6","989,0","12,8","30,7","20,6","26,8","70,7",1,,2023-10-01 19:30:00
"38,1","2,30","2,15","25,272","23,507","65,9","989,0","12,2","30,2","20,7","26,6","69,9",1,,2023-10-01 20:30:00
"38,0","2,30","2,15","27,569","25,660","65,9","989,0","11,6","29,9","20,6","26,3","71,2",1,,2023-10-01 21:30:00
"38,0","2,30","2,16","29,867","27,816","65,4","989,0","11,3","29,8","20,7","26,2","74,4",1,,2023-10-01 22:30:00
"38,1","2,30","2,16","32,165","29,973","65,7","989,0","11,1","29,7","20,7","26,1","76,7",1,,2023-10-01 23:30:00
"38,1","2,30","2,16","34,462","32,133","65,7","988,0","10,6","29,5","20,7","25,9","79,8",1,,2023-10-02 00:30:00
"38,1","2,30","2,16","36,760","34,296","66,0","988,0","10,1","29,3","20,6","25,8","82,9",1,,2023-10-02 01:30:00
"38,2","2,30","2,17","39,058","36,462","66,0","988,0","9,7","29,2","20,7","25,7","85,3",1,,2023-10-02 02:30:00
"38,3","2,30","2,17","41,355","38,630","66,0","988,0","9,5","29,0","20,7","25,5","86,7",1,,2023-10-02 03:30:00
"38,3","2,30","2,17","43,653","40,800","65,7","988,0","9,4","29,0","20,6","25,4","88,0",1,,2023-10-02 04:30:00
"38,4","2,30","2,17","45,951","42,973","65,7","988,0","8,9","29,1","20,7","25,4","89,9",1,,2023-10-02 05:30:00
"38,4","2,30","2,18","48,248","45,153","66,3","989,0","8,1","29,0","20,6","25,2","91,5",1,,2023-10-02 06:30:00
"38,5","2,30","2,18","50,546","47,334","66,6","989,0","8,0","28,9","20,6","25,1","93,1",1,,2023-10-02 07:30:00
"38,5","2,30","2,18","52,844","49,514","66,3","989,0","8,2","29,1","20,7","25,1","93,5",1,,2023-10-02 08:30:00
"38,4","2,30","2,18","55,141","51,693","66,8","990,0","8,6","29,3","20,7","25,2","92,5",1,,2023-10-02 09:30:00
"38,4","2,30","2,18","55,143","51,695","66,3","990,0","8,9","29,5","21,4","25,0","91,7",1,,2023-10-02 09:30:03
"38,4","2,30","2,15","55,143","51,695","66,6","989,0","11,4","29,9","20,7","26,1","79,9",1,,2023-10-02 09:30:25
"0,0","0,00","0,00","0,000","0,000","0,1","993,0","14,6","29,5","21,4","23,6","55,2",1,,2023-10-03 15:46:01
"0,0","0,00","0,00","0,000","0,000","0,4","983,0","13,9","31,0","19,5","24,2","67,7",1,,2023-10-04 09:30:00
"37,0","2,29","2,12","2,295","2,116","64,0","982,0","14,2","25,8","20,7","24,1","66,2",1,,2023-10-04 10:30:00
"37,2","2,30","2,11","4,592","4,226","64,0","981,0","15,2","26,3","20,7","25,1","62,6",1,,2023-10-04 11:30:00
"37,1","2,30","2,10","6,890","6,325","63,4","981,0","16,5","27,1","20,7","25,5","58,8",1,,2023-10-04 12:30:00
"37,1","2,30","2,09","9,188","8,430","64,3","980,0","17,5","28,0","20,6","25,8","55,9",1,,2023-10-04 13:30:00
"37,2","2,30","2,09","11,485","10,524","64,9","980,0","17,2","27,6","20,6","25,8","58,1",1,,2023-10-04 14:30:00
"37,6","2,30","2,11","13,783","12,634","63,4","982,0","15,3","27,0","20,6","25,6","69,4",1,,2023-10-04 15:30:00
"37,7","2,30","2,12","16,081","14,757","64,0","982,0","13,7","26,4","20,7","25,4","80,8",1,,2023-10-04 16:30:00
"37,9","2,30","2,13","18,378","16,887","64,0","982,0","12,7","26,1","20,7","25,3","87,2",1,,2023-10-04 17:30:00
"37,7","2,30","2,13","20,676","19,019","66,0","983,0","12,8","26,1","20,6","25,3","85,9",1,,2023-10-04 18:30:00
"37,9","2,30","2,14","22,974","21,157","64,3","984,0","12,4","25,9","20,6","25,3","86,1",1,,2023-10-04 19:30:00
"37,9","2,30","2,14","25,272","23,298","63,7","985,0","12,1","25,8","20,7","25,2","80,1",1,,2023-10-04 20:30:00
"38,0","2,30","2,14","27,569","25,443","64,3","986,0","11,9","25,7","20,6","25,2","74,7",1,,2023-10-04 21:30:00
"38,1","2,30","2,15","29,867","27,592","64,5","986,0","11,4","25,6","20,6","25,1","75,3",1,,2023-10-04 22:30:00
"38,1","2,30","2,15","32,165","29,744","64,8","986,0","11,0","25,4","20,6","25,1","74,5",1,,2023-10-04 23:30:00
"38,1","2,30","2,16","34,462","31,901","64,3","986,0","10,5","25,3","20,7","25,1","75,0",1,,2023-10-05 00:30:00
"38,1","2,30","2,16","36,760","34,060","63,9","986,0","10,2","25,2","20,7","25,0","75,9",1,,2023-10-05 01:30:00
"38,2","2,30","2,16","39,058","36,223","64,0","987,0","9,7","25,1","20,6","24,9","77,2",1,,2023-10-05 02:30:00
"38,3","2,30","2,17","41,355","38,393","64,0","987,0","8,9","24,9","20,7","24,9","81,1",1,,2023-10-05 03:30:00
"38,3","2,30","2,17","43,653","40,565","64,6","987,0","8,6","24,8","20,7","24,8","83,4",1,,2023-10-05 04:30:00
"38,4","2,30","2,18","45,951","42,740","64,5","987,0","8,2","24,7","20,7","24,8","86,1",1,,2023-10-05 05:30:00
