TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,EndTimeUTC
391.56,6703.51,6767,1916,100,1,4851,1916,371.33,2023-09-30 20:00:00
368.83,6358.67,6423,1610,100,1,4813,1610,374.24,2023-09-30 21:00:00
345.45,5914.04,5972,1378,100,1,4594,1378,372.0,2023-09-30 22:00:00
319.79,5513.25,5572,1212,100,1,4360,1212,374.48,2023-09-30 23:00:00
305.72,5233.89,5280,1117,100,1,4163,1117,371.78,2023-10-01 00:00:00
311.06,5362.67,5412,1097,100,1,4315,1097,374.26,2023-10-01 01:00:00
287.18,4916.54,4961,1025,100,1,3936,1025,372.13,2023-10-01 02:00:00
295.14,5088.17,5139,1031,100,1,4108,1031,375.34,2023-10-01 03:00:00
294.68,5044.92,5091,1131,100,1,3960,1131,374.24,2023-10-01 04:00:00
311.43,5369.1,5423,1245,100,1,4178,1245,378.37,2023-10-01 05:00:00
315.33,5398.41,5445,1379,100,1,4066,1379,377.26,2023-10-01 06:00:00
324.04,5586.47,5642,1405,93,1,4237,1405,383.22,2023-10-01 07:00:00
229.41,3927.48,3962,1118,100,1,2844,1118,379.42,2023-10-01 08:00:00
218.77,3771.53,3808,955,100,1,2853,955,380.83,2023-10-01 09:00:00
193.44,3311.7,3340,622,100,1,2718,622,370.97,2023-10-01 10:00:00
165.75,2857.57,2888,407,100,1,2481,407,369.68,2023-10-01 11:00:00
180.7,3093.62,3124,415,100,1,2709,415,361.78,2023-10-01 12:00:00
176.75,3047.2,3076,464,100,1,2612,464,363.65,2023-10-01 13:00:00
188.63,3229.4,3261,428,100,1,2833,428,359.94,2023-10-01 14:00:00
206.66,3562.79,3597,618,100,1,2979,618,365.09,2023-10-01 15:00:00
183.02,3133.38,3162,562,100,1,2600,562,362.31,2023-10-01 16:00:00
170.35,2936.84,2967,573,100,1,2394,573,367.36,2023-10-01 17:00:00
162.6,2783.7,2810,553,100,1,2257,553,363.66,2023-10-01 18:00:00
165.93,2860.6,2888,599,100,1,2289,599,368.33,2023-10-01 19:00:00
184.69,3161.82,3192,634,100,1,2558,634,364.63,2023-10-01 20:00:00
169.87,2928.5,2957,589,100,1,2368,589,369.91,2023-10-01 21:00:00
160.07,2740.36,2765,581,100,1,2184,581,367.13,2023-10-01 22:00:00
168.2,2899.72,2929,589,100,1,2340,589,372.95,2023-10-01 23:00:00
172.81,2958.59,2985,597,100,1,2388,597,371.01,2023-10-02 00:00:00
161.13,2777.94,2804,592,100,1,2212,592,376.84,2023-10-02 01:00:00
156.24,2674.82,2701,571,100,1,2130,571,372.86,2023-10-02 02:00:00
146.91,2532.75,2558,450,100,1,2108,450,377.16,2023-10-02 03:00:00
136.01,2328.57,2349,476,100,1,1873,476,373.03,2023-10-02 04:00:00
148.9,2567.08,2591,676,100,1,1915,676,378.01,2023-10-02 05:00:00
138.5,2371.16,2394,640,100,1,1754,640,373.68,2023-10-02 06:00:00
153.17,2640.61,2664,819,100,1,1845,819,376.61,2023-10-02 07:00:00
159.35,2728.08,2756,875,100,1,1881,875,375.14,2023-10-02 08:00:00
140.92,2429.53,2453,709,100,1,1744,709,377.06,2023-10-02 09:00:00
164.16,2810.49,2840,986,100,1,1854,986,373.72,2023-10-02 10:00:00
165.01,2844.81,2874,821,100,1,2053,821,373.26,2023-10-02 11:00:00
170.89,2925.58,2955,898,93,1,2057,898,369.65,2023-10-02 12:00:00
185.78,3202.93,3237,1015,100,1,2222,1015,369.25,2023-10-02 13:00:00
213.96,3662.98,3697,1154,100,1,2543,1154,367.99,2023-10-02 14:00:00
249.04,4293.51,4336,1243,100,1,3093,1243,369.98,2023-10-02 15:00:00
236.93,4056.22,4095,1564,100,1,2531,1564,370.84,2023-10-02 16:00:00
233.42,4024.16,4064,1357,100,1,2707,1357,374.26,2023-10-02 17:00:00
230.91,3953.26,3986,1360,100,1,2626,1360,373.42,2023-10-02 18:00:00
225.65,3890.2,3928,1257,100,1,2671,1257,375.08,2023-10-02 19:00:00
200.03,3424.52,3455,898,100,1,2557,898,373.21,2023-10-02 20:00:00
182.09,3139.22,3171,666,100,1,2505,666,373.95,2023-10-02 21:00:00
163.69,2802.38,2827,479,100,1,2348,479,372.5,2023-10-02 22:00:00
149.89,2584.05,2611,423,100,1,2188,423,373.38,2023-10-02 23:00:00
149.76,2563.9,2585,323,100,1,2262,323,372.36,2023-10-03 00:00:00
151.88,2618.39,2646,477,100,1,2169,477,374.15,2023-10-03 01:00:00
154.37,2642.76,2665,420,100,1,2245,420,374.03,2023-10-03 02:00:00
150.83,2600.31,2627,336,100,1,2291,336,375.78,2023-10-03 03:00:00
153.28,2624.24,2649,565,100,1,2084,565,377.04,2023-10-03 04:00:00
180.7,3115.33,3147,1413,100,1,1734,1413,382.38,2023-10-03 05:00:00
210.14,3597.63,3630,1507,100,1,2123,1507,377.69,2023-10-03 06:00:00
259.98,4481.97,4523,2048,100,1,2475,2048,379.59,2023-10-03 07:00:00
219.77,3762.5,3794,1265,93,1,2529,1265,377.13,2023-10-03 08:00:00
197.57,3406.15,3439,882,100,1,2557,882,375.64,2023-10-03 09:00:00
186.5,3192.87,3224,606,100,1,2618,606,369.84,2023-10-03 10:00:00
200.76,3461.05,3496,618,100,1,2878,618,368.51,2023-10-03 11:00:00
201.86,3455.77,3489,630,100,1,2859,630,366.06,2023-10-03 12:00:00
260.12,4484.4,4534,612,100,1,3922,612,365.03,2023-10-03 13:00:00
222.46,3808.6,3845,515,100,1,3330,515,362.84,2023-10-03 14:00:00
211.52,3646.6,3685,698,100,1,2987,698,364.59,2023-10-03 15:00:00
255.08,4366.91,4405,1318,100,1,3087,1318,364.65,2023-10-03 16:00:00
255.8,4409.99,4455,1164,100,1,3291,1164,366.63,2023-10-03 17:00:00
252.87,4329.2,4372,977,100,1,3395,977,365.21,2023-10-03 18:00:00
210.15,3623.0,3662,672,100,1,2990,672,366.06,2023-10-03 19:00:00
222.4,3807.47,3845,614,100,1,3231,614,364.73,2023-10-03 20:00:00
207.21,3572.36,3611,610,100,1,3001,610,365.99,2023-10-03 21:00:00
204.23,3496.38,3531,585,100,1,2946,585,364.86,2023-10-03 22:00:00
216.55,3733.29,3773,595,100,1,3178,595,366.58,2023-10-03 23:00:00
222.16,3803.3,3839,631,100,1,3208,631,366.14,2023-10-04 00:00:00
229.48,3956.2,3995,727,100,1,3268,727,368.57,2023-10-04 01:00:00
231.61,3965.22,4001,740,100,1,3261,740,367.77,2023-10-04 02:00:00
257.5,4439.29,4482,886,100,1,3596,886,369.72,2023-10-04 03:00:00
243.48,4168.4,4209,869,100,1,3340,869,369.04,2023-10-04 04:00:00
249.74,4305.48,4349,917,100,1,3432,917,370.24,2023-10-04 05:00:00
273.45,4681.39,4725,1094,100,1,3631,1094,368.49,2023-10-04 06:00:00
297.59,5130.43,5183,1182,100,1,4001,1182,370.83,2023-10-04 07:00:00
