CH4,CO,NO,NO2,OZ,PM10,PM2.5,SO2,datetime
1.5,0.2,0.0,0.028,0.0719,0.038,0.019,0.0014,2023-10-01 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01 01:00:00
1.47,0.2,0.0,0.022,0.0769,0.035,0.017,0.0016,2023-10-01 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01 02:00:00
1.44,0.2,0.0,0.017,0.081,0.033,0.016,0.0017,2023-10-01 02:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01 03:00:00
1.43,0.1,0.0,0.014,0.0833,0.032,0.016,0.0017,2023-10-01 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01 04:00:00
1.44,0.1,0.0,0.012,0.0839,0.033,0.016,0.0014,2023-10-01 04:00:00
1.44,0.1,0.0,0.012,0.0814,0.031,0.015,0.0014,2023-10-01 05:00:00
1.44,0.07,0.0,0.011,0.0791,0.029,0.015,0.0014,2023-10-01 06:00:00
1.49,0.1,0.0,0.016,0.0717,0.031,0.015,0.0016,2023-10-01 07:00:00
1.51,0.1,0.0,0.022,0.0626,0.035,0.017,0.0015,2023-10-01 08:00:00
1.45,0.1,0.001,0.027,0.0559,0.038,0.02,0.0014,2023-10-01 09:00:00
1.45,0.1,0.001,0.027,0.0482,0.034,0.02,0.0012,2023-10-01 10:00:00
1.43,0.1,0.001,0.023,0.0381,0.021,0.014,0.001,2023-10-01 11:00:00
1.43,0.1,0.003,0.023,0.0365,0.014,0.01,0.0013,2023-10-01 12:00:00
1.4,0.1,0.002,0.016,0.0453,0.011,0.005,0.0014,2023-10-01 13:00:00
1.4,0.1,0.002,0.011,0.0537,0.009,0.004,0.0012,2023-10-01 14:00:00
1.4,0.2,0.001,0.012,0.0525,0.011,0.005,0.0013,2023-10-01 15:00:00
1.4,0.13,0.001,0.014,0.053,0.007,0.002,0.0015,2023-10-01 16:00:00
1.4,0.13,0.001,0.015,0.0486,0.012,0.005,0.0013,2023-10-01 17:00:00
1.41,0.2,0.001,0.022,0.0368,0.016,0.007,0.0012,2023-10-01 18:00:00
1.4,0.2,0.0,0.022,0.0394,0.014,0.006,0.0013,2023-10-01 19:00:00
1.4,0.2,0.0,0.026,0.0346,0.01,0.004,0.0012,2023-10-01 20:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01 21:00:00
1.4,0.2,0.001,0.029,0.037,0.011,0.004,0.0011,2023-10-01 21:00:00
1.4,0.2,0.0,0.029,0.0345,0.014,0.006,0.001,2023-10-01 22:00:00
1.4,0.2,0.001,0.029,0.0315,0.014,0.006,0.0011,2023-10-01 23:00:00
1.42,0.23,0.0,0.028,0.0296,0.013,0.006,0.0012,2023-10-02 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02 01:00:00
1.45,0.2,0.0,0.025,0.0277,0.014,0.007,0.0013,2023-10-02 01:00:00
1.44,0.2,0.0,0.024,0.025,0.014,0.006,0.0015,2023-10-02 02:00:00
1.46,0.3,0.0,0.025,0.0216,0.013,0.006,0.0016,2023-10-02 03:00:00
1.44,0.3,0.0,0.024,0.0194,0.014,0.006,0.0012,2023-10-02 04:00:00
1.44,0.23,0.002,0.02,0.0221,0.014,0.007,0.0015,2023-10-02 05:00:00
1.44,0.27,0.0,0.014,0.0267,0.01,0.005,0.0013,2023-10-02 06:00:00
1.44,0.3,0.0,0.013,0.0244,0.008,0.004,0.0014,2023-10-02 07:00:00
1.42,0.3,0.002,0.023,0.017,0.012,0.006,0.0014,2023-10-02 08:00:00
1.42,0.3,0.003,0.025,0.0183,0.012,0.006,0.0015,2023-10-02 09:00:00
1.41,0.3,0.005,0.026,0.0175,0.014,0.006,0.0013,2023-10-02 10:00:00
1.42,0.3,0.006,0.027,0.0156,0.015,0.007,0.0014,2023-10-02 11:00:00
1.42,0.3,0.006,0.023,0.0167,0.009,0.005,0.0015,2023-10-02 12:00:00
1.42,0.3,0.01,0.025,0.017,0.013,0.006,0.0016,2023-10-02 13:00:00
1.42,0.33,0.007,0.024,0.0221,0.012,0.005,0.0013,2023-10-02 14:00:00
1.42,0.23,0.006,0.026,0.0272,0.012,0.005,0.0015,2023-10-02 15:00:00
1.41,0.23,0.005,0.031,0.0291,0.012,0.005,0.0016,2023-10-02 16:00:00
1.41,0.2,0.004,0.035,0.0279,0.015,0.006,0.0013,2023-10-02 17:00:00
1.4,0.3,0.004,0.043,0.0204,0.016,0.006,0.0014,2023-10-02 18:00:00
1.41,0.37,0.009,0.058,0.0073,0.021,0.008,0.0015,2023-10-02 19:00:00
1.43,0.3,0.005,0.054,0.0101,0.019,0.007,0.0016,2023-10-02 20:00:00
1.44,0.3,0.005,0.053,0.0085,0.019,0.008,0.0013,2023-10-02 21:00:00
1.42,0.3,0.003,0.048,0.0101,0.02,0.009,0.0011,2023-10-02 22:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02 22:00:00
1.44,0.23,0.001,0.037,0.0186,0.016,0.008,0.0011,2023-10-02 23:00:00
1.43,0.2,0.0,0.027,0.0256,0.013,0.006,0.0012,2023-10-03 00:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-03 01:00:00
1.44,0.2,0.0,0.019,0.0313,0.011,0.005,0.0011,2023-10-03 01:00:00
1.44,0.17,0.0,0.017,0.0325,0.011,0.005,0.0012,2023-10-03 02:00:00
1.44,0.2,0.0,0.014,0.0332,0.009,0.004,0.0011,2023-10-03 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-03 03:00:00
1.42,0.2,0.001,0.019,0.026,0.01,0.005,0.0015,2023-10-03 04:00:00
1.42,0.2,0.0,0.017,0.0277,0.009,0.005,0.0012,2023-10-03 05:00:00
1.42,0.2,0.0,0.014,0.0312,0.01,0.004,0.0012,2023-10-03 06:00:00
1.42,0.23,0.0,0.021,0.0196,0.009,0.003,0.0012,2023-10-03 07:00:00
1.43,0.37,0.021,0.037,0.0059,0.014,0.006,0.0017,2023-10-03 08:00:00
1.44,0.4,0.021,0.041,0.0141,0.021,0.004,0.0016,2023-10-03 09:00:00
1.46,0.4,0.027,0.045,0.0163,0.029,0.009,0.0019,2023-10-03 10:00:00
1.46,0.3,0.017,0.037,0.0279,0.025,0.008,0.0016,2023-10-03 11:00:00
1.43,0.2,0.008,0.025,0.0418,0.018,0.006,0.0016,2023-10-03 12:00:00
1.41,0.2,0.004,0.015,0.0533,0.014,0.005,0.0008,2023-10-03 13:00:00
1.41,0.2,0.003,0.016,0.0547,0.013,0.005,0.0014,2023-10-03 14:00:00
1.41,0.3,0.003,0.016,0.0566,0.012,0.005,0.0014,2023-10-03 15:00:00
1.41,0.3,0.002,0.017,0.0564,0.015,0.006,0.0013,2023-10-03 16:00:00
1.4,0.3,0.001,0.016,0.0556,0.013,0.006,0.0013,2023-10-03 17:00:00
1.4,0.3,0.0,0.022,0.0465,0.016,0.007,0.0012,2023-10-03 18:00:00
1.42,0.37,0.0,0.038,0.0298,0.022,0.009,0.0012,2023-10-03 19:00:00
1.4,0.3,0.0,0.038,0.0313,0.022,0.009,0.0013,2023-10-03 20:00:00
1.42,0.3,0.0,0.031,0.0363,0.021,0.01,0.0013,2023-10-03 21:00:00
1.44,0.3,0.0,0.022,0.0451,0.015,0.006,0.0011,2023-10-03 22:00:00
1.42,0.3,0.0,0.018,0.0484,0.017,0.007,0.0012,2023-10-03 23:00:00
1.41,0.3,0.0,0.016,0.0504,0.019,0.009,0.0012,2023-10-04 00:00:00
1.42,0.3,0.0,0.014,0.0509,0.018,0.009,0.0012,2023-10-04 01:00:00
1.42,0.27,0.0,0.012,0.0523,0.021,0.01,0.0014,2023-10-04 02:00:00
1.43,0.0,0.0,0.011,0.0513,0.02,0.01,0.0011,2023-10-04 03:00:00
1.46,0.0,0.0,0.012,0.049,0.019,0.01,0.0013,2023-10-04 04:00:00
1.47,0.0,0.0,0.011,0.0486,0.019,0.01,0.0014,2023-10-04 05:00:00
1.45,0.0,0.0,0.013,0.0455,0.018,0.01,0.0011,2023-10-04 06:00:00
1.44,0.0,0.0,0.016,0.0455,0.018,0.01,0.0012,2023-10-04 07:00:00
1.43,0.0,0.001,0.019,0.0475,0.021,0.01,0.0013,2023-10-04 08:00:00
1.44,0.0,0.003,0.023,0.0492,0.026,0.01,0.0012,2023-10-04 09:00:00
1.44,0.0,0.002,0.022,0.0538,0.04,0.012,0.0013,2023-10-04 10:00:00
1.43,0.0,0.002,0.021,0.0577,0.048,0.012,0.0014,2023-10-04 11:00:00
