Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"64,3","2,30","2,10","34,495","31,404","57,0","972,0","14,0",,,"22,6","92,5",1,,2023-07-01 00:30:00
"64,3","2,30","2,10","36,795","33,507","56,7","972,0","13,6",,,"22,7","90,3",1,,2023-07-01 01:30:00
"64,3","2,30","2,10","39,095","35,608","57,0","971,0","13,7",,,"22,6","89,8",1,,2023-07-01 02:30:00
"64,3","2,30","2,10","41,395","37,707","57,0","971,0","14,0",,,"22,8","91,9",1,,2023-07-01 03:30:00
"64,3","2,30","2,10","43,695","39,805","57,0","971,0","14,1",,,"22,9","93,1",1,,2023-07-01 04:30:00
"64,2","2,30","2,10","45,995","41,900","56,4","971,0","14,4",,,"23,0","93,3",1,,2023-07-01 05:30:00
"64,1","2,30","2,09","48,295","43,993","56,7","971,0","14,8",,,"23,1","92,7",1,,2023-07-01 06:30:00
"63,7","2,30","2,08","50,595","46,076","56,7","971,0","16,3",,,"23,7","88,0",1,,2023-07-01 07:30:00
"63,7","2,30","2,08","52,895","48,155","56,7","971,0","16,7",,,"24,3","85,5",1,,2023-07-01 08:30:00
"63,4","2,30","2,07","55,195","50,225","57,3","971,0","18,2",,,"24,7","78,9",1,,2023-07-01 09:30:00
"63,4","2,30","2,06","55,197","50,226","57,3","972,0","18,9",,,"25,0","74,0",1,,2023-07-01 09:30:03
"63,4","2,30","2,09","55,197","50,226","57,0","972,0","15,3",,,"23,5","87,8",1,,2023-07-01 09:30:03
"0,0","0,00","0,00","0,000","0,000","0,3","977,0","22,1",,,"26,0","45,5",1,,2023-07-02 19:52:49
"0,0","0,00","0,00","0,000","0,000","0,3","980,0","21,3",,,"25,4","56,7",1,,2023-07-03 09:30:00
"62,3","2,29","2,06","2,295","2,061","56,2","980,0","21,3",,,"25,3","54,9",1,,2023-07-03 10:30:00
"62,4","2,30","2,06","4,595","4,120","55,9","980,0","22,3",,,"26,6","46,5",1,,2023-07-03 11:30:00
"62,5","2,30","2,06","6,895","6,178","56,4","981,0","22,8",,,"27,0","44,1",1,,2023-07-03 12:30:00
"62,6","2,30","2,06","9,195","8,236","56,1","982,0","22,9",,,"27,4","43,1",1,,2023-07-03 13:30:00
"62,6","2,30","2,06","11,495","10,294","56,1","982,0","23,0",,,"27,4","40,9",1,,2023-07-03 14:30:00
"62,4","2,30","2,06","13,795","12,350","56,1","982,0","23,5",,,"27,4","39,2",1,,2023-07-03 15:30:00
"62,3","2,30","2,06","16,095","14,405","55,8","983,0","23,6",,,"27,5","38,5",1,,2023-07-03 16:30:00
"62,4","2,30","2,06","18,395","16,461","55,8","983,0","23,8",,,"27,4","37,2",1,,2023-07-03 17:30:00
"62,3","2,30","2,06","20,695","18,517","55,8","984,0","23,7",,,"27,4","36,2",1,,2023-07-03 18:30:00
"62,5","2,30","2,06","22,995","20,577","56,1","984,0","23,4",,,"27,2","36,0",1,,2023-07-03 19:30:00
"62,7","2,30","2,07","25,295","22,648","55,5","985,0","22,0",,,"26,4","39,4",1,,2023-07-03 20:30:00
"62,8","2,30","2,08","27,595","24,729","55,5","985,0","20,8",,,"25,2","41,3",1,,2023-07-03 21:30:00
"63,1","2,30","2,09","29,895","26,863","55,8","986,0","19,6",,,"24,4","45,2",1,,2023-07-03 22:30:00
"63,3","2,30","2,10","32,195","28,964","56,1","987,0","18,3",,,"24,0","49,9",1,,2023-07-03 23:30:00
"63,2","2,30","2,10","34,495","31,068","55,8","987,0","18,1",,,"23,8","51,3",1,,2023-07-04 00:30:00
"63,5","2,30","2,10","36,795","33,172","55,8","988,0","18,2",,,"23,9","51,0",1,,2023-07-04 01:30:00
"63,7","2,30","2,12","39,095","35,289","56,1","988,0","16,6",,,"23,5","56,1",1,,2023-07-04 02:30:00
"63,8","2,30","2,12","41,395","37,409","56,4","988,0","16,1",,,"23,2","57,5",1,,2023-07-04 03:30:00
"63,8","2,30","2,12","43,695","39,533","55,5","989,0","15,8",,,"23,1","59,0",1,,2023-07-04 04:30:00
"63,7","2,30","2,12","45,994","41,658","56,7","989,0","15,9",,,"23,2","59,2",1,,2023-07-04 05:30:00
"63,4","2,30","2,12","48,294","43,777","56,7","990,0","16,8",,,"23,6","56,8",1,,2023-07-04 06:30:00
