Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID,Date
"37,7","2,30","2,10","34,463","31,396","65,4","972,0","13,9","23,0","20,7","25,9","94,3",1,,2023-07-01 00:30:00
"37,7","2,30","2,10","36,761","33,498","66,2","972,0","13,6","23,1","20,7","25,9","92,0",1,,2023-07-01 01:30:00
"37,6","2,30","2,10","39,058","35,599","65,1","971,0","13,7","23,0","20,7","25,8","91,3",1,,2023-07-01 02:30:00
"37,8","2,30","2,10","41,356","37,696","65,4","971,0","14,0","23,1","20,7","25,9","93,3",1,,2023-07-01 03:30:00
"37,7","2,30","2,10","43,654","39,793","65,7","971,0","14,1","23,2","20,7","25,9","94,5",1,,2023-07-01 04:30:00
"37,7","2,30","2,09","45,952","41,919","65,1","971,0","14,3","23,2","20,7","25,9","94,7",1,,2023-07-01 05:30:00
"37,6","2,30","2,09","48,249","44,012","65,1","971,0","14,7","23,4","20,7","25,9","94,2",1,,2023-07-01 06:30:00
"37,3","2,30","2,08","50,547","46,092","66,2","971,0","16,3","24,1","20,6","26,1","89,4",1,,2023-07-01 07:30:00
"37,3","2,30","2,08","52,845","48,171","65,7","971,0","16,7","24,4","20,7","26,2","86,7",1,,2023-07-01 08:30:00
"37,1","2,30","2,07","55,143","50,238","65,4","972,0","18,2","24,8","20,7","26,3","79,9",1,,2023-07-01 09:30:00
"37,1","2,30","2,06","55,145","50,240","66,5","972,0","18,9","25,1","21,1","26,4","75,6",1,,2023-07-01 09:30:03
"37,1","2,30","2,09","55,145","50,240","65,1","973,0","15,2","23,6","20,7","26,0","89,3",1,,2023-07-01 09:30:25
"0,0","0,00","0,00","0,000","0,000","0,0","977,0","22,0","25,1","21,1","23,8","45,6",1,,2023-07-02 19:52:30
"0,0","0,00","0,00","0,000","0,000","0,0","980,0","21,4","26,8","20,0","23,0","57,0",1,,2023-07-03 09:30:00
"35,6","2,29","2,06","2,295","2,061","63,7","980,0","21,3","24,3","20,6","24,5","55,5",1,,2023-07-03 10:30:00
"36,0","2,30","2,06","4,593","4,119","63,1","981,0","22,3","25,1","20,7","25,6","46,9",1,,2023-07-03 11:30:00
"36,1","2,30","2,06","6,890","6,174","63,4","981,0","22,9","25,7","20,6","26,2","44,4",1,,2023-07-03 12:30:00
"36,3","2,30","2,06","9,188","8,231","63,3","982,0","22,9","26,1","20,6","26,6","43,5",1,,2023-07-03 13:30:00
"36,4","2,30","2,06","11,486","10,289","63,6","983,0","23,0","26,3","20,7","26,9","41,3",1,,2023-07-03 14:30:00
"36,3","2,30","2,05","13,783","12,343","63,0","983,0","23,5","26,5","20,6","27,1","39,6",1,,2023-07-03 15:30:00
"36,2","2,30","2,05","16,081","14,398","63,3","983,0","23,6","26,6","20,6","27,2","38,9",1,,2023-07-03 16:30:00
"36,3","2,30","2,05","18,379","16,452","63,3","983,0","23,7","26,7","20,7","27,3","37,6",1,,2023-07-03 17:30:00
