TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,EndTimeUTC
220.83,3807.15,3846,812,100,1,3034,812,381.71,2023-11-30 20:00:00
251.94,4313.2,4355,741,100,1,3614,741,378.51,2023-11-30 21:00:00
175.31,3022.41,3052,577,100,1,2475,577,380.29,2023-11-30 22:00:00
155.5,2662.18,2685,449,100,1,2236,449,376.18,2023-11-30 23:00:00
159.01,2741.28,2768,453,100,1,2315,453,378.62,2023-12-01 00:00:00
168.18,2879.17,2905,436,100,1,2469,436,375.34,2023-12-01 01:00:00
169.04,2914.29,2943,566,100,1,2377,566,378.6,2023-12-01 02:00:00
194.14,3323.73,3352,770,100,1,2582,770,376.45,2023-12-01 03:00:00
214.36,3695.52,3732,821,100,1,2911,821,380.41,2023-12-01 04:00:00
235.13,4025.44,4062,1095,100,1,2967,1095,378.65,2023-12-01 05:00:00
247.52,4267.21,4310,1187,100,1,3123,1187,383.1,2023-12-01 06:00:00
254.26,4352.92,4394,1248,100,1,3146,1248,380.19,2023-12-01 07:00:00
262.05,4517.77,4565,1299,100,1,3266,1299,383.45,2023-12-01 08:00:00
267.7,4583.08,4627,1366,100,1,3261,1366,381.23,2023-12-01 09:00:00
288.25,4969.35,5019,1481,100,1,3538,1481,385.12,2023-12-01 10:00:00
297.51,5093.41,5142,1615,93,1,3527,1615,383.17,2023-12-01 11:00:00
309.21,5330.71,5383,1729,100,1,3654,1729,388.15,2023-12-01 12:00:00
327.01,5598.36,5651,1950,100,1,3701,1950,386.66,2023-12-01 13:00:00
327.46,5645.47,5705,2101,100,1,3604,2101,390.56,2023-12-01 14:00:00
321.08,5496.82,5554,1878,100,1,3676,1878,387.77,2023-12-01 15:00:00
338.24,5831.3,5889,1965,100,1,3924,1965,391.8,2023-12-01 16:00:00
321.11,5497.38,5548,1870,100,1,3678,1870,389.88,2023-12-01 17:00:00
307.42,5299.84,5357,1734,100,1,3623,1734,393.92,2023-12-01 18:00:00
305.45,5229.33,5281,1665,100,1,3616,1665,391.72,2023-12-01 19:00:00
314.18,5416.44,5475,2098,93,1,3377,2098,396.02,2023-12-01 20:00:00
343.8,5885.93,5940,2268,100,1,3672,2268,396.93,2023-12-01 21:00:00
333.11,5742.75,5806,2364,100,1,3442,2364,403.83,2023-12-01 22:00:00
374.64,6413.91,6468,2779,100,1,3689,2779,403.61,2023-12-01 23:00:00
402.63,6941.29,7015,2844,100,1,4171,2844,407.51,2023-12-02 00:00:00
319.35,5467.29,5511,1802,100,1,3709,1802,401.92,2023-12-02 01:00:00
360.56,6215.98,6282,2120,100,1,4162,2120,404.38,2023-12-02 02:00:00
432.26,7400.35,7469,2616,100,1,4853,2616,403.12,2023-12-02 03:00:00
453.5,7818.41,7899,2993,93,1,4906,2993,407.58,2023-12-02 04:00:00
432.75,7408.67,7480,2847,100,1,4633,2847,404.59,2023-12-02 05:00:00
453.81,7823.72,7896,2957,100,1,4939,2957,406.45,2023-12-02 06:00:00
428.85,7341.86,7403,2750,100,1,4653,2750,400.7,2023-12-02 07:00:00
375.82,6479.11,6543,2185,100,1,4358,2185,400.21,2023-12-02 08:00:00
377.32,6459.8,6518,2107,100,1,4411,2107,395.54,2023-12-02 09:00:00
342.38,5902.55,5960,1765,100,1,4195,1765,396.18,2023-12-02 10:00:00
352.38,6032.79,6088,2108,93,1,3980,2108,392.62,2023-12-02 11:00:00
333.6,5751.26,5804,1761,100,1,4043,1761,394.31,2023-12-02 12:00:00
321.87,5510.43,5558,1898,100,1,3660,1898,390.13,2023-12-02 13:00:00
338.99,5844.22,5898,1940,100,1,3958,1940,391.26,2023-12-02 14:00:00
363.68,6226.14,6285,2138,100,1,4147,2138,389.44,2023-12-02 15:00:00
383.53,6612.05,6674,2235,100,1,4439,2235,392.34,2023-12-02 16:00:00
395.06,6763.38,6817,2251,100,1,4566,2251,389.57,2023-12-02 17:00:00
356.68,6149.14,6211,1799,100,1,4412,1799,391.73,2023-12-02 18:00:00
328.33,5621.08,5673,1491,100,1,4182,1491,388.29,2023-12-02 19:00:00
340.28,5866.37,5923,1493,93,1,4430,1493,390.69,2023-12-02 20:00:00
327.07,5599.39,5650,1346,100,1,4304,1346,387.01,2023-12-02 21:00:00
326.56,5629.9,5685,1387,100,1,4298,1387,389.61,2023-12-02 22:00:00
354.49,6068.83,6123,1754,100,1,4369,1754,386.84,2023-12-02 23:00:00
289.25,4986.61,5039,1190,100,1,3849,1190,388.73,2023-12-03 00:00:00
