CH4,CO,NO,NO2,OZ,PM10,PM2.5,SO2,datetime
1.34,0.73,0.065,0.087,0.0014,0.019,0.012,0.0021,2023-07-01 00:00:00
1.35,0.6,0.046,0.095,0.0014,0.02,0.013,0.0017,2023-07-01 01:00:00
1.33,0.3,0.006,0.088,0.0049,0.011,0.007,0.0012,2023-07-01 02:00:00
1.34,0.23,0.001,0.061,0.0127,0.016,0.01,0.001,2023-07-01 03:00:00
1.33,0.1,0.001,0.027,0.0209,0.016,0.01,0.0007,2023-07-01 04:00:00
1.31,0.1,0.0,0.015,0.0223,0.014,0.009,0.0008,2023-07-01 05:00:00
1.3,0.1,0.001,0.016,0.0201,0.014,0.01,0.001,2023-07-01 06:00:00
1.3,0.1,0.002,0.016,0.0218,0.015,0.011,0.001,2023-07-01 07:00:00
1.29,0.1,0.003,0.015,0.0263,0.014,0.009,0.0009,2023-07-01 08:00:00
1.29,0.1,0.003,0.016,0.0313,0.015,0.009,0.0012,2023-07-01 09:00:00
1.29,0.1,0.002,0.013,0.0451,0.015,0.007,0.0011,2023-07-01 10:00:00
1.28,0.1,0.002,0.011,0.0552,0.013,0.005,0.0011,2023-07-01 11:00:00
1.28,0.1,0.001,0.01,0.0607,0.011,0.005,0.0012,2023-07-01 12:00:00
1.28,0.1,0.002,0.012,0.0644,0.011,0.007,0.0011,2023-07-01 13:00:00
1.26,0.13,0.001,0.011,0.0666,0.011,0.007,0.001,2023-07-01 14:00:00
1.27,0.1,0.001,0.011,0.0649,0.014,0.005,0.001,2023-07-01 15:00:00
1.27,0.1,0.001,0.012,0.0602,0.02,0.011,0.0011,2023-07-01 16:00:00
1.28,0.1,0.001,0.013,0.0599,0.018,0.009,0.0012,2023-07-01 17:00:00
1.28,0.1,0.001,0.011,0.0718,0.01,0.007,0.001,2023-07-01 18:00:00
1.28,0.1,0.001,0.017,0.0723,0.023,0.013,0.0007,2023-07-01 19:00:00
1.28,0.13,0.001,0.03,0.0634,0.023,0.01,0.0013,2023-07-01 20:00:00
1.3,0.2,0.0,0.04,0.0553,0.035,0.013,0.0015,2023-07-01 21:00:00
1.3,0.1,0.0,0.027,0.0657,0.025,0.015,0.0012,2023-07-01 22:00:00
1.3,0.1,0.0,0.028,0.0512,0.019,0.012,0.0012,2023-07-01 23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-07-02 00:00:00
1.31,0.13,0.0,0.034,0.0434,0.014,0.01,0.0013,2023-07-02 00:00:00
1.32,0.13,0.0,0.035,0.0393,0.014,0.01,0.001,2023-07-02 01:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-07-02 02:00:00
1.31,0.13,0.0,0.03,0.0381,0.016,0.01,0.0009,2023-07-02 02:00:00
1.32,0.1,0.0,0.028,0.0374,0.018,0.011,0.0013,2023-07-02 03:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-07-02 04:00:00
1.31,0.1,0.0,0.015,0.041,0.017,0.01,0.0013,2023-07-02 04:00:00
1.31,0.1,0.0,0.014,0.0395,0.017,0.01,0.0015,2023-07-02 05:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-07-02 06:00:00
1.3,0.1,0.001,0.014,0.0388,0.016,0.009,0.0013,2023-07-02 06:00:00
1.3,0.03,0.0,0.009,0.0404,0.012,0.007,0.0012,2023-07-02 07:00:00
1.29,0.03,0.001,0.009,0.0387,0.015,0.008,0.0013,2023-07-02 08:00:00
1.29,0.1,0.002,0.01,0.0425,0.017,0.008,0.0013,2023-07-02 09:00:00
1.28,0.03,0.002,0.009,0.0513,0.014,0.007,0.0014,2023-07-02 10:00:00
1.27,0.0,0.001,0.01,0.0599,0.015,0.006,0.0016,2023-07-02 11:00:00
1.27,0.03,0.001,0.01,0.0618,0.014,0.005,0.0016,2023-07-02 12:00:00
1.27,0.0,0.001,0.009,0.0646,0.012,0.005,0.0015,2023-07-02 13:00:00
1.26,0.03,0.002,0.01,0.0644,0.01,0.009,0.0015,2023-07-02 14:00:00
1.26,0.1,0.002,0.011,0.0683,0.011,0.004,0.0013,2023-07-02 15:00:00
1.26,0.1,0.001,0.01,0.0749,0.017,0.006,0.0013,2023-07-02 16:00:00
1.26,0.37,0.001,0.01,0.0764,0.02,0.007,0.0013,2023-07-02 17:00:00
1.26,0.17,0.001,0.01,0.0783,0.021,0.009,0.0013,2023-07-02 18:00:00
1.27,0.1,0.001,0.011,0.0765,0.02,0.011,0.0014,2023-07-02 19:00:00
1.28,0.1,0.0,0.016,0.0713,0.031,0.011,0.0012,2023-07-02 20:00:00
1.29,0.13,0.0,0.024,0.0617,0.024,0.011,0.0013,2023-07-02 21:00:00
1.29,0.2,0.0,0.033,0.0411,0.026,0.014,0.0013,2023-07-02 22:00:00
1.31,0.23,0.0,0.056,0.0148,0.026,0.013,0.0012,2023-07-02 23:00:00
1.32,0.3,0.006,0.077,0.004,0.029,0.014,0.0013,2023-07-03 00:00:00
1.32,0.4,0.016,0.086,0.0028,0.028,0.013,0.0016,2023-07-03 01:00:00
1.31,0.27,0.002,0.061,0.027,0.026,0.012,0.0014,2023-07-03 02:00:00
1.31,0.3,0.0,0.036,0.0429,0.023,0.013,0.0011,2023-07-03 03:00:00
1.32,0.27,0.0,0.029,0.0475,0.025,0.015,0.0013,2023-07-03 04:00:00
1.33,0.23,0.0,0.022,0.0479,0.032,0.021,0.001,2023-07-03 05:00:00
1.34,0.27,0.001,0.019,0.0427,0.025,0.017,0.0009,2023-07-03 06:00:00
1.32,0.23,0.002,0.021,0.0421,0.027,0.018,0.0012,2023-07-03 07:00:00
1.31,0.3,0.002,0.019,0.0462,0.02,0.013,0.0013,2023-07-03 08:00:00
1.3,0.23,0.003,0.014,0.0531,0.015,0.007,0.0013,2023-07-03 09:00:00
1.29,0.2,0.002,0.012,0.0615,0.011,0.003,0.0012,2023-07-03 10:00:00
1.28,0.1,,,0.0607,0.011,0.005,0.0012,2023-07-01 12:00:00
1.28,0.1,,,0.0644,0.011,0.007,0.0011,2023-07-01 13:00:00
1.26,0.13,,,0.0666,0.011,0.007,0.001,2023-07-01 14:00:00
1.27,0.1,,,0.0649,0.014,0.005,0.001,2023-07-01 15:00:00
1.27,0.1,,,0.0602,0.02,0.011,0.0011,2023-07-01 16:00:00
1.28,0.1,,,0.0599,0.018,0.009,0.0012,2023-07-01 17:00:00
1.28,0.1,,,0.0718,0.01,0.007,0.001,2023-07-01 18:00:00
1.28,0.1,,,0.0723,0.023,0.013,0.0007,2023-07-01 19:00:00
1.28,0.13,,,0.0634,0.023,0.01,0.0013,2023-07-01 20:00:00
1.3,0.2,,,0.0553,0.035,0.013,0.0015,2023-07-01 21:00:00
1.3,0.1,,,0.0657,0.025,0.015,0.0012,2023-07-01 22:00:00
1.3,0.1,,,0.0512,0.019,0.012,0.0012,2023-07-01 23:00:00
1.31,0.13,,,0.0434,0.014,0.01,0.0013,2023-07-02 00:00:00
1.32,0.13,,,0.0393,0.014,0.01,0.001,2023-07-02 01:00:00
1.31,0.13,,,0.0381,0.016,0.01,0.0009,2023-07-02 02:00:00
1.32,0.1,,,0.0374,0.018,0.011,0.0013,2023-07-02 03:00:00
1.31,0.1,,,0.041,0.017,0.01,0.0013,2023-07-02 04:00:00
1.31,0.1,,,0.0395,0.017,0.01,0.0015,2023-07-02 05:00:00
1.3,0.1,,,0.0388,0.016,0.009,0.0013,2023-07-02 06:00:00
1.3,0.03,,,0.0404,0.012,0.007,0.0012,2023-07-02 07:00:00
1.29,0.03,,,0.0387,0.015,0.008,0.0013,2023-07-02 08:00:00
1.29,0.1,,,0.0425,0.017,0.008,0.0013,2023-07-02 09:00:00
1.28,0.03,,,0.0513,0.014,0.007,0.0014,2023-07-02 10:00:00
1.27,0.0,,,0.0599,0.015,0.006,0.0016,2023-07-02 11:00:00
1.27,0.03,,,0.0618,0.014,0.005,0.0016,2023-07-02 12:00:00
1.27,0.0,,,0.0646,0.012,0.005,0.0015,2023-07-02 13:00:00
1.26,0.03,,,0.0644,0.01,0.009,0.0015,2023-07-02 14:00:00
1.26,0.1,,,0.0683,0.011,0.004,0.0013,2023-07-02 15:00:00
1.26,0.1,,,0.0749,0.017,0.006,0.0013,2023-07-02 16:00:00
1.26,0.37,,,0.0764,0.02,0.007,0.0013,2023-07-02 17:00:00
1.26,0.17,,,0.0783,0.021,0.009,0.0013,2023-07-02 18:00:00
1.27,0.1,,,0.0765,0.02,0.011,0.0014,2023-07-02 19:00:00
1.28,0.1,,,0.0713,0.031,0.011,0.0012,2023-07-02 20:00:00
1.29,0.13,,,0.0617,0.024,0.011,0.0013,2023-07-02 21:00:00
1.29,0.2,,,0.0411,0.026,0.014,0.0013,2023-07-02 22:00:00
1.31,0.23,,,0.0148,0.026,0.013,0.0012,2023-07-02 23:00:00
1.32,0.3,,,0.004,0.029,0.014,0.0013,2023-07-03 00:00:00
1.32,0.4,,,0.0028,0.028,0.013,0.0016,2023-07-03 01:00:00
1.31,0.27,,,0.027,0.026,0.012,0.0014,2023-07-03 02:00:00
1.31,0.3,,,0.0429,0.023,0.013,0.0011,2023-07-03 03:00:00
1.32,0.27,,,0.0475,0.025,0.015,0.0013,2023-07-03 04:00:00
1.33,0.23,,,0.0479,0.032,0.021,0.001,2023-07-03 05:00:00
1.34,0.27,,,0.0427,0.025,0.017,0.0009,2023-07-03 06:00:00
1.32,0.23,,,0.0421,0.027,0.018,0.0012,2023-07-03 07:00:00
1.31,0.3,,,0.0462,0.02,0.013,0.0013,2023-07-03 08:00:00
1.3,0.23,,,0.0531,0.015,0.007,0.0013,2023-07-03 09:00:00
1.29,0.2,,,0.0615,0.011,0.003,0.0012,2023-07-03 10:00:00
1.28,0.2,,,0.0654,0.012,0.004,0.0011,2023-07-03 11:00:00
1.27,0.2,,,0.0726,0.013,0.006,0.0012,2023-07-03 12:00:00
1.27,0.2,,,0.0719,0.012,0.007,0.0011,2023-07-03 13:00:00
